fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
had.27.46a20_replaced,,2004,,,85000.0,1000.0,,,,47000.0,17000.0,64000.0,,
had.27.46a20_replaced,,2005,,,66000.0,0.0,,,,48000.0,10000.0,58000.0,,
had.27.46a20_replaced,,2006,,39000.0,52000.0,0.0,,,39000.0,36000.0,17000.0,53000.0,,
had.27.46a20_replaced,,2007,,55400.0,55000.0,0.0,,,55400.0,31000.0,30000.0,61000.0,,
had.27.46a20_replaced,,2008,,,46000.0,0.0,,,,29000.0,15000.0,44000.0,,
had.27.46a20_replaced,,2009,,,42000.0,0.0,,,,30000.0,10000.0,40000.0,,
had.27.46a20_replaced,,2010,,,36000.0,0.0,,,,28000.0,7000.0,35000.0,,
had.27.46a20_replaced,,2011,,,34000.0,0.0,,,,27000.0,10000.0,37000.0,,
had.27.46a20_replaced,,2012,,,39000.0,0.0,,,,30000.0,4000.0,34000.0,,
had.27.46a20_replaced,,2013,,,45041.0,0.0,,,,39000.0,2000.0,41000.0,,
had.27.46a20_replaced,,2014,,38201.0,38284.0,65.0,,,38201.0,35000.0,4000.0,39000.0,,
had.27.46a20_replaced,,2015,,68690.0,40711.0,18.0,,,,30013.0,4676.0,34689.0,,
had.27.46a20_replaced,,2016,,59945.0,61933.0,29.0,,,,29713.0,6106.0,35819.0,,
had.27.46a20_replaced,,2017,,39461.0,33643.0,8.0,,,,29318.0,5322.0,34640.0,,
had.27.46a20_replaced,,2018,,48990.0,41767.0,30.0,,,,29333.0,3767.0,33100.0,,
had.27.46a20_replaced,,2019,,33956.0,28950.0,184.0,,,,26697.0,3570.0,30267.0,,
had.27.46a20_replaced,,1987,,11500.0,,1400.0,,,,3800.0,,3800.0,,
had.27.46a20_replaced,,1988,,10000.0,,1500.0,,,,2900.0,,2900.0,,
had.27.46a20_replaced,,1989,,10000.0,,400.0,,,,4100.0,,4100.0,,
had.27.46a20_replaced,,1990,,10000.0,,2000.0,,,,4100.0,,4100.0,,
had.27.46a20_replaced,,1991,,4600.0,,2600.0,,,4600.0,4100.0,,4100.0,,
had.27.46a20_replaced,,1992,,4600.0,,4600.0,,,4600.0,4400.0,,4400.0,,
had.27.46a20_replaced,,1993,,4600.0,,2400.0,,,,2000.0,,2000.0,,
had.27.46a20_replaced,,1994,,10000.0,,2200.0,,,,1800.0,,1800.0,,
had.27.46a20_replaced,,1995,,10000.0,,2200.0,,,,2200.0,,2200.0,,
had.27.46a20_replaced,,1996,,10000.0,,2900.0,,,,3100.0,,3100.0,,
had.27.46a20_replaced,,1997,,7000.0,,600.0,,,,34003800.0,,34003800.0,,
had.27.46a20_replaced,,1998,,7000.0,,300.0,,,4700.0,,,0.0,,
had.27.46a20_replaced,,1999,,5400.0,,300.0,,,,1400.0,,1400.0,,
had.27.46a20_replaced,,2000,,4500.0,,600.0,,,,1500.0,,1500.0,,
had.27.46a20_replaced,,2001,,4000.0,,200.0,,,,1900.0,,1900.0,,
had.27.46a20_replaced,,2002,,6300.0,,60.0,,,,4100.0,,4100.0,,
had.27.46a20_replaced,,2003,,3200.0,,2000.0,,,,1800.0,200.0,2000.0,,
had.27.46a20_replaced,,2004,,4900.0,,1500.0,,,,1400.0,100.0,1500.0,,
had.27.46a20_replaced,,2005,,4000.0,,0.0,,,,800.0,200.0,1000.0,,
had.27.46a20_replaced,,2006,,3200.0,,0.0,,,,1500.0,1000.0,2500.0,,
had.27.46a20_replaced,,2007,,3400.0,,0.0,,,,1600.0,800.0,2400.0,,
had.27.46a20_replaced,,2008,,2900.0,,0.0,,,2900.0,1300.0,400.0,1700.0,,
had.27.46a20_replaced,,2009,,2600.0,,0.0,,,,1500.0,400.0,1900.0,,
had.27.46a20_replaced,,2010,,2200.0,,0.0,,,,1400.0,600.0,2000.0,,
had.27.46a20_replaced,,2011,,2100.0,,0.0,,,,2100.0,1300.0,3400.0,,
