fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
had.27.7a,,1990,,,6000.0,582.0,,,,582.0,,582.0,,
had.27.7a,,1991,,,6000.0,616.0,,,,616.0,,616.0,,
had.27.7a,,1992,,,6000.0,656.0,,,,656.0,,656.0,,
had.27.7a,,1993,,,6000.0,813.0,,,,813.0,,813.0,,
had.27.7a,,1994,,,6000.0,1042.0,,,,1042.0,,1042.0,,
had.27.7a,,1995,,,6000.0,2516.0,,,,1736.0,780.0,2516.0,,
had.27.7a,,1996,,,10000.0,3690.0,,,,2981.0,709.0,3690.0,,
,,1997,,,,,,,,,,,1.0,
had.27.7a,,1998,,3000.0,20000.0,5889.0,,,3000.0,4874.0,1015.0,5889.0,,
had.27.7a,,1999,,7000.0,4990.0,4729.0,,,7000.0,4095.0,634.0,4729.0,,
had.27.7a,,2000,,2800.0,3400.0,2159.0,,,2800.0,1357.0,802.0,2159.0,,
had.27.7a,,2001,,1710.0,2700.0,2515.0,,,1710.0,2246.0,269.0,2515.0,,
had.27.7a,,2002,,1200.0,1300.0,2204.0,,,1200.0,1817.0,387.0,2204.0,,
had.27.7a,,2003,,,585.0,659.0,,,,659.0,,659.0,,1.0
had.27.7a,,2004,,1500.0,1500.0,1609.0,,,1500.0,1217.0,392.0,1609.0,,
had.27.7a,,2005,,1370.0,1500.0,1217.0,,,1370.0,666.0,551.0,1217.0,,
had.27.7a,,2006,,,1275.0,939.0,,,,633.0,306.0,939.0,,
had.27.7a,,2007,,,1179.0,1608.0,,,,886.0,722.0,1608.0,,
,,2008,,,,,,,,,,,1.0,
had.27.7a,,2009,,,1424.0,1160.0,,,,581.0,579.0,1160.0,,
had.27.7a,,2010,,,1424.0,1187.0,,,,679.0,508.0,1187.0,,
had.27.7a,,2011,,,1317.0,753.0,,,,446.0,307.0,753.0,,
had.27.7a,,2012,,,1215.0,942.0,,,,343.0,599.0,942.0,,
had.27.7a,,2013,,710.0,1189.0,537.0,,,710.0,254.0,283.0,537.0,,
had.27.7a,,2014,,1120.0,1181.0,1006.0,,,572.0,518.0,488.0,1006.0,,
had.27.7a,,2015,,893.0,1181.0,1485.0,,,425.0,833.0,652.0,1485.0,,
had.27.7a,,2016,,1072.0,1654.0,1306.0,,,481.0,1008.0,298.0,1306.0,,
had.27.7a,,2017,,3061.0,2615.0,1995.0,,,2348.0,1662.0,333.0,1995.0,,
had.27.7a,,2018,,3444.0,3207.0,2561.0,,,2796.0,1993.0,568.0,2561.0,,
had.27.7a,,2019,,3739.0,3739.0,2450.0,,,3334.0,1778.0,672.0,2450.0,,
had.27.7a,,2020,,3156.0,3156.0,976.0,,,,742.0,234.0,976.0,,
had.27.7a,,2021,,3371.0,3371.0,1891.0,,,,1219.0,672.0,1891.0,,
had.27.7a,,2022,,3038.0,3038.0,0.0,,,,,,0.0,,
had.27.7a,,2023,,2648.0,,0.0,,,,,,0.0,,
