fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
had.27.7b-k,,1987,,,,2600.0,,,,2600.0,,2600.0,,
had.27.7b-k,,1988,,,,3600.0,,,,3600.0,,3600.0,,
had.27.7b-k,,1989,,,,3200.0,,,,3200.0,,3200.0,,
had.27.7b-k,,1990,,,,2000.0,,,,2000.0,,2000.0,,
had.27.7b-k,,1991,,,,2300.0,,,,2300.0,,2300.0,,
had.27.7b-k,,1992,,,,2700.0,,,,2700.0,,2700.0,,
had.27.7b-k,,1993,,,,4556.0,,,,3348.0,1208.0,4556.0,,
had.27.7b-k,,1994,,,,6017.0,,,,4131.0,1886.0,6017.0,,
had.27.7b-k,,1995,,,6000.0,6688.0,,,,4470.0,2218.0,6688.0,,
had.27.7b-k,,1996,,,7000.0,11065.0,,,,6756.0,4309.0,11065.0,,
had.27.7b-k,,1997,,,14000.0,13710.0,,,,10827.0,2883.0,13710.0,,
had.27.7b-k,,1998,,,20000.0,8862.0,,,,7928.0,934.0,8862.0,,
had.27.7b-k,,1999,,,22000.0,5556.0,,,,4970.0,586.0,5556.0,,
,,2000,,,,,,,,,,,1.0,
,,2001,,,,,,,,,,,1.0,
,,2002,,,,,,,,,,,1.0,
,,2003,,,,,,,,,,,1.0,
,,2004,,,,,,,,,,,1.0,
,,2005,,,,,,,,,,,1.0,
had.27.7b-k,,2006,,,11520.0,11491.0,,,,5592.0,5899.0,11491.0,,
had.27.7b-k,,2007,,,11520.0,10513.0,,,,6961.0,3552.0,10513.0,,
had.27.7b-k,,2008,,,11579.0,15052.0,,,,7392.0,7660.0,15052.0,,
had.27.7b-k,,2009,,,11579.0,16986.0,,,,9664.0,7322.0,16986.0,,
had.27.7b-k,,2010,,,11579.0,29130.0,,,,10429.0,18701.0,29130.0,,
had.27.7b-k,,2011,,,13316.0,29764.0,,,,13957.0,15807.0,29764.0,,
had.27.7b-k,,2012,,,16645.0,27481.0,,,,19196.0,8285.0,27481.0,,
had.27.7b-k,,2013,,9500.0,14148.0,17501.0,,,9500.0,13538.0,3962.0,17500.0,,
had.27.7b-k,,2014,,5281.0,9479.0,15464.0,,,3602.0,9846.0,5619.0,15465.0,,
had.27.7b-k,,2015,,10434.0,8342.0,15549.0,,,5605.0,8608.0,6941.0,15549.0,,
had.27.7b-k,,2016,,8590.0,7258.0,19713.0,,,6078.0,7648.0,12065.0,19713.0,,
had.27.7b-k,,2017,,12444.0,7751.0,14789.0,,,7751.0,8099.0,6691.0,14790.0,,
had.27.7b-k,,2018,,8358.0,6910.0,12844.0,,,5911.0,7046.0,5798.0,12844.0,,
had.27.7b-k,,2019,,6317.0,8329.0,11259.0,,,,7656.0,3603.0,11259.0,,
had.27.7b-k,,2020,,16671.0,10859.0,12119.0,,,,7859.0,4260.0,12119.0,,
had.27.7b-k,,2021,,18382.0,15000.0,11645.0,,,,9260.0,2385.0,11645.0,,
had.27.7b-k,,2022,,15946.0,15000.0,0.0,,,,,,0.0,,
had.27.7b-k,,2023,,11901.0,,0.0,,,,,,0.0,,
