fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
her.27.irls,,1988,,13000.0,18000.0,19200.0,,,,16800.0,2400.0,19200.0,,
her.27.irls,,1989,,20000.0,20000.0,22700.0,,,,19200.0,3500.0,22700.0,,
her.27.irls,,1990,,15000.0,17500.0,20200.0,,,,17700.0,2500.0,20200.0,,
her.27.irls,,1991,,15000.0,21000.0,23600.0,,,,21700.0,1900.0,23600.0,,
her.27.irls,,1992,,27000.0,21000.0,23000.0,,,,20900.0,2100.0,23000.0,,
her.27.irls,,1993,,,21000.0,21100.0,,,,19200.0,1900.0,21100.0,,
her.27.irls,,1994,,,21000.0,19100.0,,,,17400.0,1700.0,19100.0,,
her.27.irls,,1995,,,21000.0,19000.0,,,,18300.0,700.0,19000.0,,
her.27.irls,,1996,,9800.0,,21800.0,,,,18800.0,3000.0,21800.0,,
her.27.irls,,1997,,25000.0,22000.0,18800.0,,,,18100.0,700.0,18800.0,,
her.27.irls,,1998,,25000.0,22000.0,20300.0,,,,20300.0,0.0,20300.0,,
her.27.irls,,1999,,19000.0,21000.0,18100.0,,,,18100.0,0.0,18100.0,,
,,2000,,,,,,,,,,,1.0,1.0
her.27.irls,,2001,,17900.0,20000.0,17729.0,,,,17729.0,0.0,17729.0,,
her.27.irls,,2002,,11000.0,11000.0,10550.0,,,,10550.0,0.0,10550.0,,
her.27.irls,,2003,,,13000.0,10875.0,,,,10875.0,0.0,10875.0,,1.0
her.27.irls,,2004,,11000.0,13000.0,11065.0,,,,11065.0,0.0,11065.0,,
her.27.irls,,2005,,11000.0,13000.0,8452.0,,,,8452.0,0.0,8452.0,,
her.27.irls,,2006,,6700.0,11000.0,8530.0,,,,8530.0,0.0,8530.0,,
her.27.irls,,2007,,,9400.0,8268.0,,,,8268.0,0.0,8268.0,,
her.27.irls,,2008,,,7900.0,6853.0,,,,6853.0,0.0,6853.0,,
her.27.irls,,2009,,,5900.0,5760.0,,,,5760.0,0.0,5760.0,,
her.27.irls,,2010,,10150.0,10150.0,8406.0,,,,8406.0,0.0,8406.0,,
her.27.irls,,2011,,,13200.0,11503.0,,,,11503.0,0.0,11503.0,,1.0
her.27.irls,,2012,,26900.0,21100.0,21765.0,,,,21604.0,161.0,21765.0,,
her.27.irls,,2013,,18500.0,17200.0,16185.0,,,,16067.0,118.0,16185.0,,
her.27.irls,,2014,,35942.0,22300.0,19574.0,,,,18930.0,644.0,19574.0,,
her.27.irls,,2015,,15140.0,15700.0,17826.0,,,,17579.0,247.0,17826.0,,
her.27.irls,,2016,,23164.0,15400.0,16841.0,,,,16659.0,182.0,16841.0,,
her.27.irls,,2017,,16145.0,14500.0,11324.0,,,,11194.0,130.0,11324.0,,
her.27.irls,,2018,,5445.0,10100.0,4589.0,,,,4589.0,0.0,4589.0,,
her.27.irls,,2019,,4742.0,4742.0,1841.0,,,,1841.0,0.0,1841.0,,
her.27.irls,,2020,,0.0,869.0,132.0,,,,132.0,0.0,132.0,,
her.27.irls,,2021,,0.0,869.0,609.0,,,,609.0,0.0,609.0,,
her.27.irls,,2022,,0.0,869.0,0.0,,,,,,0.0,,
her.27.irls,,2023,,0.0,,0.0,,,,,,0.0,,
