fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
hke.27.8c9a,,1987,,15000.0,25000.0,16185.0,,,,16185.0,,16185.0,,
hke.27.8c9a,,1988,,15000.0,25000.0,16653.0,,,,16653.0,,16653.0,,
hke.27.8c9a,,1989,,15000.0,20000.0,13786.0,,,,13786.0,,13786.0,,
hke.27.8c9a,,1990,,15000.0,20000.0,13190.0,,,,13190.0,,13190.0,,
hke.27.8c9a,,1991,,10000.0,18000.0,12827.0,,,,12827.0,,12827.0,,
hke.27.8c9a,,1992,,10300.0,16000.0,14271.0,,,,13798.0,473.0,14271.0,,
hke.27.8c9a,,1993,,1000.0,12000.0,12172.0,,,,11489.0,683.0,12172.0,,
hke.27.8c9a,,1994,,2000.0,11500.0,10859.0,,,,9865.0,994.0,10859.0,,
hke.27.8c9a,,1995,,,8500.0,14341.0,,,,12239.0,2102.0,14341.0,,
hke.27.8c9a,,1996,,,9000.0,11640.0,,,,9730.0,1910.0,11640.0,,
hke.27.8c9a,,1997,,,9000.0,10769.0,,,,8499.0,2270.0,10769.0,,
hke.27.8c9a,,1998,,4000.0,8200.0,9364.0,,,,7683.0,1681.0,9364.0,,
hke.27.8c9a,,1999,,9500.0,9000.0,8690.0,,,,7171.0,1519.0,8690.0,,
hke.27.8c9a,,2000,,7700.0,8500.0,9737.0,,,,7902.0,1835.0,9737.0,,
hke.27.8c9a,,2001,,8500.0,8900.0,9243.0,,,,7581.0,1662.0,9243.0,,
hke.27.8c9a,,2002,,8000.0,8000.0,8189.0,,,,6697.0,1492.0,8189.0,,
hke.27.8c9a,,2003,,0.0,7000.0,8206.0,,,,6745.0,1461.0,8206.0,,
hke.27.8c9a,,2004,,0.0,5950.0,7854.0,,,,6940.0,913.0,7853.0,,
hke.27.8c9a,,2005,,0.0,5968.0,10280.0,,,,8302.0,1978.0,10280.0,,
hke.27.8c9a,,2006,,0.0,6661.0,14061.0,,,,10799.0,3262.0,14061.0,,
hke.27.8c9a,,2007,,0.0,6128.0,17438.0,,,,14934.0,2504.0,17438.0,,
hke.27.8c9a,,2008,,0.0,7047.0,19084.0,,,,16773.0,2311.0,19084.0,,
hke.27.8c9a,,2009,,0.0,8104.0,22177.0,,,,19242.0,2935.0,22177.0,,
hke.27.8c9a,,2010,,4900.0,9300.0,17316.0,,,,15736.0,1580.0,17316.0,,
hke.27.8c9a,,2011,,9900.0,10695.0,19020.0,,,,17072.0,1948.0,19020.0,,
hke.27.8c9a,,2012,,14323.0,12299.0,16395.0,,,,14573.0,1822.0,16395.0,,
hke.27.8c9a,,2013,,10552.0,14144.0,14209.0,,,,11661.0,2549.0,14210.0,,
hke.27.8c9a,,2014,,13123.0,16266.0,14614.0,,,,12011.0,2602.0,14613.0,,
hke.27.8c9a,,2015,,8417.0,13826.0,14077.0,,,,11786.0,2292.0,14078.0,,
hke.27.8c9a,,2016,,6078.0,10674.0,14756.0,,,,12443.0,2313.0,14756.0,,
hke.27.8c9a,,2017,,8049.0,10520.0,10847.0,,,,9171.0,1676.0,10847.0,,
hke.27.8c9a,,2018,,8561.0,9258.0,12125.0,,,,10183.0,1942.0,12125.0,,
hke.27.8c9a,,2019,,8281.0,9258.0,12861.0,,,,11800.0,1061.0,12861.0,,
hke.27.8c9a,,2020,,6615.0,8752.0,9171.0,,,,8732.0,438.0,9170.0,,
hke.27.8c9a,,2021,,7825.0,8517.0,9065.0,,,,8214.0,851.0,9065.0,,
hke.27.8c9a,,2022,,6947.0,7836.0,0.0,,,,,,0.0,,
hke.27.8c9a,,2023,,11791.0,,0.0,,,,,,0.0,,
