fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
hom.27.9a,,1987,,,72500.0,55000.0,,,,,,,,
hom.27.9a,,1988,,,82000.0,56000.0,,,,,,,,
hom.27.9a,,1989,,72500.0,73000.0,56000.0,,,,,,,,
hom.27.9a,,1990,,38000.0,55000.0,49000.0,,,,,,,,
hom.27.9a,,1991,,61000.0,73000.0,22000.0,,,,,,,,
hom.27.9a,,1992,,61000.0,73000.0,27858.0,,,,,,,,
hom.27.9a,,1993,,,73000.0,31521.0,,,,,,,,1.0
hom.27.9a,,1994,,55000.0,73000.0,28441.0,,,,,,,,
hom.27.9a,,1995,,63000.0,73000.0,25147.0,,,,,,,,
hom.27.9a,,1996,,60000.0,73000.0,20400.0,,,,,,,,
hom.27.9a,,1997,,,73000.0,29491.0,,,,,,,,1.0
hom.27.9a,,1998,,59000.0,73000.0,41564.0,,,,,,,,
hom.27.9a,,1999,,58000.0,73000.0,27733.0,,,,,,,,
hom.27.9a,,2000,,59000.0,68000.0,26160.0,,,,,,,,
hom.27.9a,,2001,,54000.0,68000.0,24910.0,,,,,,,,
hom.27.9a,,2002,,34000.0,57500.0,22506.0,,,,,,,,
hom.27.9a,,2003,,49000.0,55200.0,18887.0,,,,,,,,
hom.27.9a,,2004,,47000.0,55000.0,23252.0,,,,,,,,
hom.27.9a,,2005,,25000.0,55000.0,22695.0,,,,,,,,
hom.27.9a,,2006,,25000.0,55000.0,23902.0,,,,,,,,
hom.27.9a,,2007,,25000.0,55000.0,22790.0,,,,,,,,
hom.27.9a,,2008,,25000.0,57800.0,22993.0,,,,,,,,
hom.27.9a,,2009,,25000.0,57800.0,25737.0,,,,,,,,
hom.27.9a,,2010,,25000.0,31100.0,26556.0,,,,,,,,
hom.27.9a,,2011,,25000.0,29585.0,21875.0,,,,,,,,
hom.27.9a,,2012,,30800.0,30800.0,24868.0,,,,,,,,
hom.27.9a,,2013,,26000.0,30000.0,28993.0,,,,,,,,
hom.27.9a,,2014,,35000.0,35000.0,29017.0,,,,,,,,
hom.27.9a,,2015,,71824.0,59500.0,32723.0,,,,,,,,
hom.27.9a,,2016,,68583.0,68583.0,40730.0,,,,,,,,
hom.27.9a,,2017,,73349.0,73349.0,36946.0,,,,,,,,
hom.27.9a,,2018,,55555.0,55555.0,31661.0,,,,,,,,
hom.27.9a,,2019,,94017.0,94017.0,35520.0,,,,,,,,
hom.27.9a,,2020,,116871.0,116871.0,30177.0,,,,,,,,
hom.27.9a,,2021,,128627.0,128627.0,26320.0,,,,,,,,
hom.27.9a,,2022,,143505.0,143505.0,,,,,,,,,
hom.27.9a,,2023,,165173.0,,,,,,,,,,
