fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
lez.27.6b,,1990,,,4840,0.0,,,,,,0.0,,
lez.27.6b,,1991,,,4840,1045.0,,,,1045.0,,1045.0,,
lez.27.6b,,1992,,,4840,1073.0,,,,1073.0,,1073.0,,
lez.27.6b,,1993,,,4840,925.0,,,,925.0,,925.0,,
lez.27.6b,,1994,,,4840,1046.0,,,,1046.0,,1046.0,,
lez.27.6b,,1995,,,4840,816.0,,,,816.0,,816.0,,
lez.27.6b,,1996,,,4840,843.0,,,,843.0,,843.0,,
lez.27.6b,,1997,,,4840,1009.0,,,,1009.0,,1009.0,,
lez.27.6b,,1998,,,4840,1091.0,,,,1091.0,,1091.0,,
lez.27.6b,,1999,,4840.0,4840,866.0,,,4840.0,866.0,,866.0,,
lez.27.6b,,2000,,4840.0,4840,964.0,,,4840.0,964.0,,964.0,,
lez.27.6b,,2001,,4840.0,4360,824.0,,,4840.0,824.0,,824.0,,
lez.27.6b,,2002,,4360.0,4360,455.0,,,4360.0,455.0,,455.0,,
lez.27.6b,,2003,,4360.0,4360,632.0,,,4360.0,632.0,,632.0,,
lez.27.6b,,2004,,3600.0,3600,528.0,,,3600.0,528.0,,528.0,,
lez.27.6b,,2005,,2300.0,2880,469.0,,,2300.0,382.0,87.0,469.0,,
lez.27.6b,,2006,,2300.0,2880,419.0,,,2300.0,344.0,75.0,419.0,,
lez.27.6b,,2007,,2100.0,2880,128.0,,,2100.0,106.0,22.0,128.0,,
lez.27.6b,,2008,,1400.0,2592,353.0,,,1400.0,294.0,59.0,353.0,,
lez.27.6b,,2009,,1400.0,2799,270.0,,,1400.0,226.0,44.0,270.0,,
lez.27.6b,,2010,,,3079,165.0,,,,139.0,26.0,165.0,,
lez.27.6b,,2011,,,3387,162.0,,,,155.0,7.0,162.0,,
lez.27.6b,,2012,,,3387,245.0,,,,224.0,21.0,245.0,,
lez.27.6b,,2013,,160.0,3387,293.0,,,160.0,278.0,15.0,293.0,,
lez.27.6b,,2014,,207.0,4074,358.0,,,207.0,343.0,15.0,358.0,,
lez.27.6b,,2015,,262.0,4129,538.0,,,262.0,453.0,85.0,538.0,,
lez.27.6b,,2016,,314.0,5214,550.0,,,314.0,405.0,145.0,550.0,,
lez.27.6b,,2017,,379.0,5682,819.0,,,342.0,586.0,233.0,819.0,,
lez.27.6b,,2018,,443.0,5432,967.0,,,,764.0,203.0,967.0,,
lez.27.6b,,2019,,419.0,5782,791.0,,,,757.0,34.0,791.0,,
lez.27.6b,,2020,,473.0,5901,920.0,,,,861.0,59.0,920.0,,
lez.27.6b,,2021,,512.0,5225,631.0,,,,566.0,65.0,631.0,,
lez.27.6b,,2022,,994.0,5581,0.0,,,,,,0.0,,
