fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
meg.27.7b-k8abd,,1990,,,18100.0,17654.0,,,,14370.0,3284.0,17654.0,,
meg.27.7b-k8abd,,1991,,,18100.0,18376.0,,,,15094.0,3282.0,18376.0,,
meg.27.7b-k8abd,,1992,,,18100.0,18588.0,,,,15600.0,2988.0,18588.0,,
meg.27.7b-k8abd,,1993,,,21460.0,18037.0,,,,14929.0,3108.0,18037.0,,
meg.27.7b-k8abd,,1994,,,20330.0,16384.0,,,,13684.0,2700.0,16384.0,,
meg.27.7b-k8abd,,1995,,,22590.0,19068.0,,,,15862.0,3206.0,19068.0,,
meg.27.7b-k8abd,,1996,,16600.0,21200.0,18135.0,,,,15109.0,3026.0,18135.0,,
meg.27.7b-k8abd,,1997,,14300.0,25000.0,17296.0,,,,14230.0,3066.0,17296.0,,
meg.27.7b-k8abd,,1998,,15200.0,25000.0,19716.0,,,,14345.0,5371.0,19716.0,,
meg.27.7b-k8abd,,1999,,14600.0,20000.0,16601.0,,,,13305.0,3297.0,16602.0,,
meg.27.7b-k8abd,,2000,,14200.0,20000.0,16750.0,,,,15031.0,1870.0,16901.0,,
meg.27.7b-k8abd,,2001,,14100.0,16800.0,18040.0,,,,15778.0,2262.0,18040.0,,
meg.27.7b-k8abd,,2002,,13000.0,14900.0,18800.0,,,,15987.0,2813.0,18800.0,,
meg.27.7b-k8abd,,2003,,16100.0,16000.0,19719.0,,,,15711.0,4008.0,19719.0,,
meg.27.7b-k8abd,,2004,,20200.0,20200.0,20602.0,,,,14358.0,6243.0,20601.0,,
meg.27.7b-k8abd,,2005,,22600.0,21500.0,16163.0,,,,12888.0,3275.0,16163.0,,
meg.27.7b-k8abd,,2006,,13600.0,20425.0,15788.0,,,,12037.0,3751.0,15788.0,,
meg.27.7b-k8abd,,2007,,14200.0,20425.0,16092.0,,,,13060.0,3033.0,16093.0,,
meg.27.7b-k8abd,,2008,,13000.0,20425.0,13908.0,,,,11048.0,2860.0,13908.0,,
meg.27.7b-k8abd,,2009,,13000.0,20425.0,18342.0,,,,15064.0,3278.0,18342.0,,
meg.27.7b-k8abd,,2010,,13000.0,20425.0,20444.0,,,,15101.0,5343.0,20444.0,,
meg.27.7b-k8abd,,2011,,,20106.0,17413.0,,,,13226.0,4187.0,17413.0,,
meg.27.7b-k8abd,,2012,,,19101.0,18137.0,,,,14433.0,3704.0,18137.0,,
meg.27.7b-k8abd,,2013,,12000.0,19101.0,20910.0,,,,16025.0,4885.0,20910.0,,
meg.27.7b-k8abd,,2014,,12000.0,19101.0,15846.0,,,,13277.0,2569.0,15846.0,,
meg.27.7b-k8abd,,2015,,15180.0,19101.0,13076.0,,,,11569.0,1507.0,13076.0,,
meg.27.7b-k8abd,,2016,,18216.0,20056.0,13992.0,,,,11548.0,2445.0,13993.0,,
meg.27.7b-k8abd,,2017,,16021.0,15043.0,15957.0,,,,13784.0,2173.0,15957.0,,
meg.27.7b-k8abd,,2018,,15720.0,13528.0,13528.0,,,,12147.0,1738.0,13885.0,,
meg.27.7b-k8abd,,2019,,18976.0,19836.0,13153.0,,,,12164.0,989.0,13153.0,,
meg.27.7b-k8abd,,2020,,19982.0,20526.0,12026.0,,,,11141.0,885.0,12026.0,,
meg.27.7b-k8abd,,2021,,19184.0,20181.0,15020.0,,,,12417.0,2603.0,15020.0,,
meg.27.7b-k8abd,,2022,,22964.0,20786.0,0.0,,,,,,0.0,,
meg.27.7b-k8abd,,2023,,23596.0,,0.0,,,,,,0.0,,
