fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
pok.27.5a,,1987,,64000.0,70000.0,80531.0,,,,,,,,
pok.27.5a,,1988,,64000.0,80000.0,77247.0,,,,,,,,
pok.27.5a,,1989,,80000.0,80000.0,82411.0,,,,,,,,
pok.27.5a,,1990,,80000.0,90000.0,98127.0,,,,,,,,
pok.27.5a,,1991,,87000.0,65000.0,102737.0,,,,,,,,
pok.27.5a,,1991,,70000.0,75000.0,88000.0,,,,,,,,
pok.27.5a,,1992,,75000.0,95000.0,78000.0,,,,,,,,
pok.27.5a,,1993,,84000.0,85000.0,69000.0,,,,,,,,
pok.27.5a,,1994,,72000.0,75000.0,61000.0,,,,,,,,
pok.27.5a,,1995,,65000.0,70000.0,41000.0,,,,,,,,
pok.27.5a,,1996,,52000.0,50000.0,38000.0,,,,,,,,
pok.27.5a,,1997,,30000.0,30000.0,33000.0,,,,,,,,
pok.27.5a,,1998,,28000.0,30000.0,30816.0,,,,,,,,
pok.27.5a,,1999,,24000.0,30000.0,29646.0,,,,,,,,
pok.27.5a,,2000,,25000.0,30000.0,31337.0,,,,,,,,
pok.27.5a,,2001,,,37000.0,36230.0,,,,,,,,1.0
pok.27.5a,,2002,,24000.0,45000.0,47471.0,,,,,,,,
pok.27.5a,,2003,,,50000.0,55953.0,,,,,,,,1.0
pok.27.5a,,2004,,69000.0,70000.0,70609.0,,,,,,,,
pok.27.5a,,2005,,78000.0,80000.0,77882.0,,,,,,,,
pok.27.5a,,2006,,81000.0,80000.0,66467.0,,,,,,,,
pok.27.5a,,2007,,,75000.0,66719.0,,,,,,,,1.0
pok.27.5a,,2008,,22000.0,65000.0,61981.0,,,,,,,,
pok.27.5a,,2009,,34000.0,50000.0,57404.0,,,,,,,,
pok.27.5a,,2010,,40000.0,50000.0,51592.0,,,,,,,,
pok.27.5a,,2011,,45000.0,52000.0,49664.0,,,,,,,,
,,2012,,,,,,,,,,,1.0,1.0
pok.27.5a,,2013,,57000.0,57000.0,54335.0,,,,,,,,
pok.27.5a,,2014,,58000.0,58000.0,52033.0,,,,,,,,
pok.27.5a,,2015,,55000.0,55000.0,49253.0,,,,,,,,
pok.27.5a,,2016,,55000.0,55000.0,44980.0,,,,,,,,
pok.27.5a,,2017,,60237.0,60237.0,59018.0,,,,,,,,
pok.27.5a,,2018,,79092.0,79092.0,70324.0,,,,,,,,
,,2019,,,,,,,,,,,1.0,
pok.27.5a,,2020,,,78574.0,56333.0,,,,,,,,
pok.27.5a,,2021,,77561.0,77561.0,,,,,,,,,
pok.27.5a,,2022,,71300.0,,,,,,,,,,
