fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
reg.27.1-2,,1987,,,,24075.0,,,,,,,,
reg.27.1-2,,1988,,15000.0,,25908.0,,,,,,,,
reg.27.1-2,,1989,,24000.0,,23234.0,,,,,,,,
reg.27.1-2,,1990,,23000.0,,28072.0,,,,,,,,
reg.27.1-2,,1991,,24000.0,,19041.0,,,,,,,,
reg.27.1-2,,1992,,25000.0,,16185.0,,,,,,,,
reg.27.1-2,,1993,,12000.0,12000.0,16651.0,,,,,,,,
reg.27.1-2,,1994,,,,18120.0,,,,,,,,
reg.27.1-2,,1995,,,,15616.0,,,,,,,,
reg.27.1-2,,1996,,,,18043.0,,,,,,,,
reg.27.1-2,,1997,,,,17511.0,,,,,,,,
reg.27.1-2,,1998,,,,19155.0,,,,,,,,
reg.27.1-2,,1999,,,,18986.0,,,,,,,,
reg.27.1-2,,2000,,,,14461.0,,,,,,,,
reg.27.1-2,,2001,,,,10547.0,,,,,,,,
reg.27.1-2,,2002,,,,9643.0,,,,,,,,
reg.27.1-2,,2003,,,,7840.0,,,,,,,,
reg.27.1-2,,2004,,,,7206.0,,,,,,,,
reg.27.1-2,,2005,,,,7036.0,,,,,,,,
reg.27.1-2,,2006,,,,7388.0,,,,,,,,
reg.27.1-2,,2007,,,,7372.0,,,,,,,,
reg.27.1-2,,2008,,,,6599.0,,,,,,,,
reg.27.1-2,,2009,,,,6487.0,,,,,,,,
reg.27.1-2,,2010,,,,6981.0,,,,,,,,
reg.27.1-2,,2011,,,,5852.0,,,,,,,,
reg.27.1-2,,2012,,,,5517.0,,,,,,,,
reg.27.1-2,,2013,,,,5673.0,,,,,,,,
reg.27.1-2,,2014,,,,4825.0,,,,,,,,
reg.27.1-2,,2015,,,,3873.0,,,,,,,,
reg.27.1-2,,2016,,,,5463.0,,,,,,,,
reg.27.1-2,,2017,,0.0,,5472.0,,,,,,,,
reg.27.1-2,,2018,,0.0,,7341.0,,,,,,,,
reg.27.1-2,,2019,,0.0,,8559.0,,,,,,,,
reg.27.1-2,,2020,,0.0,,9644.0,,,,,,,,
reg.27.1-2,,2021,,0.0,,10193.0,,,,,,,,
reg.27.1-2,,2022,,0.0,,,,,,,,,,
reg.27.1-2,,2023,,0.0,,,,,,,,,,
reg.27.1-2,,2024,,0.0,,,,,,,,,,
