fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
reg.27.561214,,1987,,83000.0,,,,,,,,,,
reg.27.561214,,1988,,84000.0,,,,,,,,,,
reg.27.561214,,1989,,117000.0,,,,,,,,,,
reg.27.561214,,1990,,116000.0,,,,,,,,,,
reg.27.561214,,1991,,77000.0,,,,,,,,,,
reg.27.561214,,1992,,76000.0,,,,,,,,,,
reg.27.561214,,1993,,120000.0,,,,,,,,,,
reg.27.561214,,1994,,100000.0,,,,,,,,,,
reg.27.561214,,1995,,90000.0,,,,,,,,,,
reg.27.561214,,1996,,32000.0,,,,,,,,,,
reg.27.561214,,1997,,32000.0,,,,,,,,,,
reg.27.561214,,1998,,37200.0,,,,,,,,,,
reg.27.561214,,1999,,35000.0,,,,,,,,,,
reg.27.561214,,2000,,35000.0,,,,,,,,,,
reg.27.561214,,2001,,,,,,,,,,,,1.0
reg.27.561214,,2002,,29000.0,,,,,,,,,,
reg.27.561214,,2003,,31000.0,,,,,,,,,,
reg.27.561214,,2004,,37400.0,,,,,,,,,,
reg.27.561214,,2005,,37000.0,,,,,,,,,,
,,2006,,,,,,,,,,,1.0,
,,2007,,,,,,,,,,,1.0,
reg.27.561214,,2008,,37000.0,,,,,,,,,,
reg.27.561214,,2009,,30000.0,,,,,,,,,,
reg.27.561214,,2010,,30000.0,,,,,,,,,,
reg.27.561214,,2011,,30000.0,,,,,,,,,,
reg.27.561214,,2012,,40000.0,,,,,,,,,,
reg.27.561214,,2013,,40000.0,,,,,,,,,,
reg.27.561214,,2014,,51980.0,,,,,,,,,,
reg.27.561214,,2015,,47300.0,,,,,,,,,,
reg.27.561214,,2016,,51000.0,,,,,,,,,,
reg.27.561214,,2017,,52800.0,,,,,,,,,,
reg.27.561214,,2018,,50800.0,,,,,,,,,,
reg.27.561214,,2019,,43600.0,,,,,,,,,,
reg.27.561214,,2020,,43568.0,,,,,,,,,,
reg.27.561214,,2021,,38343.0,,,,,,,,,,
reg.27.561214,,2022,,31855.0,,,,,,,,,,
reg.27.561214,,2023,,25545.0,,,,,,,,,,
