fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
san.sa.4,,2005,,,661000,1557,,,,,,,,
san.sa.4,,2006,,,300000,55,,,,,,,,
san.sa.4,,2007,,,173000,11,,,,,,,,
san.sa.4,,2008,,,375000,1168,,,,,,,,
san.sa.4,,2009,,,377000,0,,,,,,,,
san.sa.4,,2010,,,377000,275,,,,,,,,
san.sa.4,,2011,,,10000,272,,,,,,,,
san.sa.4,,2012,,5000.0,5000,2585,,,,,,,,
san.sa.4,,2013,,2041.0,4000,5225,,,,,,,,
san.sa.4,,2014,,5000.0,5000,4414,,,,,,,,
san.sa.4,,2015,,5000.0,5000,4392,,,,,,,,
san.sa.4,,2016,,6000.0,6000,6232,,,,,,,,
san.sa.4,,2017,,54043.0,54043,18474,,,,,,,,
san.sa.4,,2018,,59345.0,59345,42298,,,,,,,,
san.sa.4,,2019,,5000.0,5000,6666,,,,,,,,
san.sa.4,,2020,,39611.0,39611,20116,,,,,,,,
san.sa.4,,2021,,77512.0,75914,53370,,,,,,,,
