fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
sol.27.7a,,1987,,1900.0,2100.0,2808.0,,,1900.0,2808.0,,2808.0,,
sol.27.7a,,1988,,1600.0,1750.0,1999.0,,,1600.0,1999.0,,1999.0,,
sol.27.7a,,1989,,1480.0,1480.0,1833.0,,,1480.0,1833.0,,1833.0,,
sol.27.7a,,1990,,1050.0,1500.0,1583.0,,,1050.0,1583.0,,1583.0,,
sol.27.7a,,1991,,1300.0,1500.0,1212.0,,,1300.0,1212.0,,1212.0,,
sol.27.7a,,1992,,1200.0,1350.0,1259.0,,,1200.0,1259.0,,1259.0,,
sol.27.7a,,1993,,920.0,1000.0,1023.0,,,920.0,1023.0,,1023.0,,
sol.27.7a,,1994,,1510.0,1500.0,1374.0,,,1510.0,1374.0,,1374.0,,
sol.27.7a,,1995,,800.0,1300.0,1266.0,,,800.0,1266.0,,1266.0,,
sol.27.7a,,1996,,800.0,1000.0,1002.0,,,800.0,1002.0,,1002.0,,
sol.27.7a,,1997,,800.0,1000.0,1003.0,,,800.0,1003.0,,1003.0,,
sol.27.7a,,1998,,850.0,900.0,911.0,,,850.0,911.0,,911.0,,
sol.27.7a,,1999,,830.0,900.0,863.0,,,830.0,863.0,,863.0,,
sol.27.7a,,2000,,1080.0,1080.0,818.0,,,1080.0,818.0,,818.0,,
sol.27.7a,,2001,,930.0,1100.0,1053.0,,,930.0,1053.0,,1053.0,,
sol.27.7a,,2002,,1100.0,1100.0,1090.0,,,1100.0,1090.0,,1090.0,,
sol.27.7a,,2003,,1010.0,1010.0,1014.0,,,1010.0,1014.0,,1014.0,,
sol.27.7a,,2004,,790.0,800.0,709.0,,,790.0,709.0,,709.0,,
sol.27.7a,,2005,,1000.0,960.0,855.0,,,1000.0,855.0,,855.0,,
sol.27.7a,,2006,,930.0,960.0,569.0,,,930.0,569.0,,569.0,,
sol.27.7a,,2007,,0.0,820.0,492.0,,,0.0,492.0,,492.0,,
,,2008,,,,,,,,,,,1.0,1.0
sol.27.7a,,2009,,0.0,502.0,325.0,,,0.0,325.0,,325.0,,
sol.27.7a,,2010,,0.0,402.0,277.0,,,0.0,277.0,,277.0,,
sol.27.7a,,2011,,,390.0,344.0,,,,330.0,14.0,344.0,,1.0
sol.27.7a,,2012,,200.0,300.0,321.0,,,200.0,298.0,23.0,321.0,,
sol.27.7a,,2013,,0.0,140.0,160.0,,,0.0,148.0,12.0,160.0,,
sol.27.7a,,2014,,0.0,95.0,108.0,,,0.0,99.0,9.0,108.0,,
sol.27.7a,,2015,,0.0,90.0,83.0,,,0.0,76.0,7.0,83.0,,
sol.27.7a,,2016,,0.0,40.0,36.0,,,0.0,35.0,1.0,36.0,,
sol.27.7a,,2017,,0.0,40.0,35.0,,,,34.0,1.0,35.0,,
sol.27.7a,,2018,,0.0,40.0,38.0,,,,36.0,2.0,38.0,,
sol.27.7a,,2019,,414.0,414.0,463.0,,,,400.0,63.0,463.0,,
sol.27.7a,,2020,,561.0,457.0,460.0,,,,404.0,56.0,460.0,,
sol.27.7a,,2021,,768.0,768.0,690.0,,,,629.0,61.0,690.0,,
sol.27.7a,,2022,,787.0,787.0,0.0,,,,,,0.0,,
sol.27.7a,,2023,,605.0,,0.0,,,,,,0.0,,
