fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
spr.27.22-32,,1987,,,117200.0,88200.0,,,,,,,,
spr.27.22-32,,1988,,,117200.0,80300.0,,,,,,,,
spr.27.22-32,,1989,,72000.0,142000.0,85800.0,,,,,,,,
spr.27.22-32,,1990,,72000.0,150000.0,85600.0,,,,,,,,
spr.27.22-32,,1991,,150000.0,163000.0,103200.0,,,,,,,,
spr.27.22-32,,1992,,143000.0,290000.0,142100.0,,,,,,,,
spr.27.22-32,,1993,,,415000.0,178100.0,,,,,,,,
spr.27.22-32,,1994,,,700000.0,288800.0,,,,,,,,
spr.27.22-32,,1995,,205000.0,500000.0,312600.0,,,,,,,,
spr.27.22-32,,1996,,279000.0,550000.0,441000.0,,,,,,,,
spr.27.22-32,,1997,,,550000.0,529400.0,,,,,,,,1.0
spr.27.22-32,,1998,,343000.0,550000.0,470800.0,,,,,,,,
spr.27.22-32,,1999,,304000.0,467005.0,422600.0,,,,,,,,
spr.27.22-32,,2000,,192000.0,400000.0,389100.0,,,,,,,,
spr.27.22-32,,2001,,314000.0,355000.0,342200.0,,,,,,,,
spr.27.22-32,,2002,,369000.0,380000.0,343200.0,,,,,,,,
spr.27.22-32,,2003,,300000.0,310000.0,308300.0,,,,,,,,
spr.27.22-32,,2004,,474000.0,420000.0,373700.0,,,,,,,,
spr.27.22-32,,2005,,614000.0,550000.0,405200.0,,,,,,,,
spr.27.22-32,,2006,,439000.0,468000.0,352100.0,,,,,,,,
spr.27.22-32,,2007,,477000.0,454000.0,388900.0,,,,,,,,
spr.27.22-32,,2008,,432000.0,454000.0,380500.0,,,,,,,,
spr.27.22-32,,2009,,291000.0,399000.0,407100.0,,,,,,,,
spr.27.22-32,,2010,,306000.0,380000.0,341500.0,,,,,,,,
spr.27.22-32,,2011,,242000.0,322700.0,267900.0,,,,,,,,
spr.27.22-32,,2012,,242000.0,255100.0,235000.0,,,,,,,,
,,2013,,,,,,,,,,,1.0,1.0
spr.27.22-32,,2014,,247000.0,267900.0,243800.0,,,,,,,,
spr.27.22-32,,2015,,222000.0,240200.0,247200.0,,,,,,,,
spr.27.22-32,,2016,,205000.0,243000.0,246500.0,,,,,,,,
spr.27.22-32,,2017,,314000.0,303593.0,285701.0,,,,,,,,
spr.27.22-32,,2018,,,304900.0,308827.0,,,,,,,,
spr.27.22-32,,2019,,,313100.0,314147.0,,,,,,,,
spr.27.22-32,,2020,,,256700.0,271531.0,,,,,,,,
spr.27.22-32,,2021,,247952.0,268458.0,284890.0,,,,,,,,
spr.27.22-32,,2022,,291745.0,295300.0,,,,,,,,,
spr.27.22-32,,2023,,249237.0,,,,,,,,,,
