fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
usk.27.5a14,,2005,,,,,,,,,,,,
usk.27.5a14,,2006,,,,,,,,,,,,
usk.27.5a14,,2007,,,,,,,,,,,,
usk.27.5a14,,2008,,,,,,,,,,,,
usk.27.5a14,,2009,,5000.0,,,,,,,,,,
usk.27.5a14,,2010,,5000.0,,,,,,,,,,
usk.27.5a14,,2011,,6000.0,,,,,,,,,,
usk.27.5a14,,2012,,6000.0,,,,,,,,,,
usk.27.5a14,,2013,,6700.0,,,,,,,,,,
usk.27.5a14,,2014,,6700.0,,,,,,,,,,
usk.27.5a14,,2015,,3950.0,,,,,,,,,,
usk.27.5a14,,2016,,3440.0,,,,,,,,,,
usk.27.5a14,,2017,,3780.0,,,,,,,,,,
usk.27.5a14,,2017,,4370.0,,,,,,,,,,
usk.27.5a14,,2018,,3776.0,,,,,,,,,,
usk.27.5a14,,2019,,3856.0,,,,,,,,,,
usk.27.5a14,,2020,,,,,,,,,,,,1.0
usk.27.5a14,,2021,,2172.0,,,,,,,,,,
usk.27.5a14,,2022,,4464.0,,,,,,,,,,
