fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
whg.27.6a,,1987,,15000.0,16400.0,23462.0,,,,11544.0,11918.0,23462.0,,
whg.27.6a,,1988,,15000.0,16400.0,19458.0,,,,11352.0,8132.0,19484.0,,
whg.27.6a,,1989,,13000.0,16400.0,13407.0,,,,7531.0,5876.0,13407.0,,
whg.27.6a,,1990,,11000.0,11000.0,10173.0,,,,5643.0,4530.0,10173.0,,
whg.27.6a,,1991,,,9000.0,11543.0,,,,6660.0,4883.0,11543.0,,
whg.27.6a,,1992,,,7500.0,15253.0,,,,6004.0,9249.0,15253.0,,
whg.27.6a,,1993,,,8700.0,11631.0,,,,6872.0,4759.0,11631.0,,
whg.27.6a,,1994,,,6800.0,9356.0,,,,5901.0,3455.0,9356.0,,
whg.27.6a,,1995,,,6800.0,11847.0,,,,6076.0,5771.0,11847.0,,
whg.27.6a,,1996,,,10000.0,15096.0,,,,7156.0,7940.0,15096.0,,
whg.27.6a,,1997,,,13000.0,11536.0,,,,6285.0,5251.0,11536.0,,
whg.27.6a,,1998,,6500.0,9000.0,13847.0,,,,4631.0,216.0,4847.0,,
whg.27.6a,,1999,,4300.0,6300.0,8588.0,,,,4613.0,3975.0,8588.0,,
whg.27.6a,,2000,,4300.0,4300.0,16295.0,,,,3010.0,13285.0,16295.0,,
whg.27.6a,,2001,,4200.0,4000.0,6701.0,,,,2438.0,4263.0,6701.0,,
whg.27.6a,,2002,,2000.0,3500.0,4560.0,,,,1709.0,2851.0,4560.0,,
whg.27.6a,,2003,,,2000.0,3316.0,,,,1331.0,1984.0,3315.0,,1.0
whg.27.6a,,2004,,2100.0,1600.0,3686.0,,,,798.0,2887.0,3685.0,,
whg.27.6a,,2005,,1600.0,1600.0,1307.0,,,,335.0,972.0,1307.0,,
whg.27.6a,,2006,,0.0,1360.0,1124.0,,,,378.0,746.0,1124.0,,
whg.27.6a,,2007,,0.0,1020.0,847.0,,,,481.0,366.0,847.0,,
whg.27.6a,,2008,,0.0,765.0,598.0,,,,441.0,156.0,597.0,,
,,2009,,,,,,,,,,,1.0,
,,2010,,,,,,,,,,,1.0,
whg.27.6a,,2011,,,323.0,861.0,,,,231.0,630.0,861.0,,
whg.27.6a,,2012,,,307.0,1042.0,,,,300.0,742.0,1042.0,,
