AssessmentKey;AssessmentYear;FishStock;StockDatabaseID;StockKey;Purpose;Year;StockDescription;ICES Areas (splited with character '~');SpeciesName;SGName;Report;Low_Recruitment;Recruitment;High_Recruitment;UnitOfRecruitment;RecruitmentDescription;Low_TBiomass;TBiomass;High_TBiomass;TotalBiomassUnits;Low_StockSize;StockSize;High_StockSize;StockSizeDescription;StockSizeUnits;CatchesLadingsUnits;Landings;OfficialLandings;Catches;Discards;IBC;Unallocated_Removals;YieldSSB;Low_FishingPressure;FishingPressure;High_FishingPressure;FishingPressureDescription;FishingPressureUnits;F_Landings;F_Discards;F_IBC;F_Unallocated;Flim;Fpa;Blim;Bpa;FMSY;MSYBtrigger;Fmanagement;Bmanagement;RecruitmentAge;RecruitmentLength;FAge;FLength;TypeStock;FupperWithAR;FupperWithoutAR;FlowerWithoutAR;FlowerWithAR;Published;CustomRefPointName1;CustomRefPointValue1;CustomRefPointNotes1;CustomRefPointName2;CustomRefPointValue2;CustomRefPointNotes2;CustomRefPointName3;CustomRefPointValue3;CustomRefPointNotes3;CustomRefPointName4;CustomRefPointValue4;CustomRefPointNotes4;CustomRefPointName5;CustomRefPointValue5;CustomRefPointNotes5;Custom1;CustomName1;CustomUnits1;Custom2;CustomName2;CustomUnits2;Custom3;CustomName3;CustomUnits3;Custom4;CustomName4;CustomUnits4;Custom5;CustomName5;CustomUnits5;Custom6;CustomName6;CustomUnits6;Custom7;CustomName7;CustomUnits7;Custom8;CustomName8;CustomUnits8;Custom9;CustomName9;CustomUnits9;Custom10;CustomName10;CustomUnits10;Custom11;CustomName11;CustomUnits11;Custom12;CustomName12;CustomUnits12;Custom13;CustomName13;CustomUnits13;Custom14;CustomName14;CustomUnits14;Custom15;CustomName15;CustomUnits15;Custom16;CustomName16;CustomUnits16;Custom17;CustomName17;CustomUnits17;Custom18;CustomName18;CustomUnits18;Custom19;CustomName19;CustomUnits19;Custom20;CustomName20;CustomUnits20;ConfidenceIntervalDefinition
17712;2023;san.sa.2r;3474;169247;Advice;1983;Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. and Subdivision 20. Sandeel Area 2r (Skagerrak. central and southern North Sea);27.4.b ~ 27.4.c;Ammodytes;;https://doi.org/10.17895/ices.advice.21815175.v1;106793079;157352646;231848875;thousands;Recruitment;;;;;90122;141634;222589;SSB;tonnes;tonnes;;;156208;;;;;0.565;0.724;0.928;F;;;;;;;;56000;84000;;;;;0;;01. Feb;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90%
17712;2023;san.sa.2r;3474;169247;Advice;1984;Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. and Subdivision 20. Sandeel Area 2r (Skagerrak. central and southern North Sea);27.4.b ~ 27.4.c;Ammodytes;;https://doi.org/10.17895/ices.advice.21815175.v1;31765827;47393706;70710057;thousands;Recruitment;;;;;51083;71182;99191;SSB;tonnes;tonnes;;;133398;;;;;0.479;0.616;0.792;F;;;;;;;;56000;84000;;;;;0;;01. Feb;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90%
17712;2023;san.sa.2r;3474;169247;Advice;1985;Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. and Subdivision 20. Sandeel Area 2r (Skagerrak. central and southern North Sea);27.4.b ~ 27.4.c;Ammodytes;;https://doi.org/10.17895/ices.advice.21815175.v1;190499549;280476360;412951048;thousands;Recruitment;;;;;92508;133252;191941;SSB;tonnes;tonnes;;;111889;;;;;0.431;0.548;0.696;F;;;;;;;;56000;84000;;;;;0;;01. Feb;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90%
17712;2023;san.sa.2r;3474;169247;Advice;1986;Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. and Subdivision 20. Sandeel Area 2r (Skagerrak. central and southern North Sea);27.4.b ~ 27.4.c;Ammodytes;;https://doi.org/10.17895/ices.advice.21815175.v1;40270171;60249209;90140347;thousands;Recruitment;;;;;62205;82951;110615;SSB;tonnes;tonnes;;;225581;;;;;0.607;0.768;0.972;F;;;;;;;;56000;84000;;;;;0;;01. Feb;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90%
17712;2023;san.sa.2r;3474;169247;Advice;1987;Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. and Subdivision 20. Sandeel Area 2r (Skagerrak. central and southern North Sea);27.4.b ~ 27.4.c;Ammodytes;;https://doi.org/10.17895/ices.advice.21815175.v1;23986321;35676401;53063812;thousands;Recruitment;;;;;157833;233515;345486;SSB;tonnes;tonnes;;;49067;;;;;0.138;0.177;0.225;F;;;;;;;;56000;84000;;;;;0;;01. Feb;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90%
17712;2023;san.sa.2r;3474;169247;Advice;1988;Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. and Subdivision 20. Sandeel Area 2r (Skagerrak. central and southern North Sea);27.4.b ~ 27.4.c;Ammodytes;;https://doi.org/10.17895/ices.advice.21815175.v1;117576251;173380646;255671090;thousands;Recruitment;;;;;133296;184425;255167;SSB;tonnes;tonnes;;;151543;;;;;0.466;0.593;0.756;F;;;;;;;;56000;84000;;;;;0;;01. Feb;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90%
17712;2023;san.sa.2r;3474;169247;Advice;1989;Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. and Subdivision 20. Sandeel Area 2r (Skagerrak. central and southern North Sea);27.4.b ~ 27.4.c;Ammodytes;;https://doi.org/10.17895/ices.advice.21815175.v1;58436662;87312134;130455922;thousands;Recruitment;;;;;40799;53370;69814;SSB;tonnes;tonnes;;;227292;;;;;0.566;0.691;0.844;F;;;;;;;;56000;84000;;;;;0;;01. Feb;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90%
17712;2023;san.sa.2r;3474;169247;Advice;1990;Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. and Subdivision 20. Sandeel Area 2r (Skagerrak. central and southern North Sea);27.4.b ~ 27.4.c;Ammodytes;;https://doi.org/10.17895/ices.advice.21815175.v1;107359054;158616516;234346320;thousands;Recruitment;;;;;77436;110525;157755;SSB;tonnes;tonnes;;;133796;;;;;0.371;0.452;0.55;F;;;;;;;;56000;84000;;;;;0;;01. Feb;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90%
17712;2023;san.sa.2r;3474;169247;Advice;1991;Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. and Subdivision 20. Sandeel Area 2r (Skagerrak. central and southern North Sea);27.4.b ~ 27.4.c;Ammodytes;;https://doi.org/10.17895/ices.advice.21815175.v1;75994979;113464435;169408271;thousands;Recruitment;;;;;130068;179512;247754;SSB;tonnes;tonnes;;;215565;;;;;0.434;0.532;0.651;F;;;;;;;;56000;84000;;;;;0;;01. Feb;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90%
17712;2023;san.sa.2r;3474;169247;Advice;1992;Sandeel (Ammodytes spp.) in divisions 4.b and 4.c. and Subdivision 20. Sandeel Area 2r (Skagerrak. central and southern North Sea);27.4.b ~ 27.4.c;Ammodytes;;https://doi.org/10.17895/ices.advice.21815175.v1;79075369;117623570;174963511;thousands;Recruitment;;;;;96606;135944;191301;SSB;tonnes;tonnes;;;184241;;;;;0.431;0.525;0.641;F;;;;;;;;56000;84000;;;;;0;;01. Feb;;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90%
