AssessmentKey,AssessmentYear,FishStock,StockDatabaseID,StockKey,Purpose,Year,StockDescription,ICES Areas (splited with character '~'),SpeciesName,SGName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,TotalBiomassUnits,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Discards,IBC,Unallocated_Removals,YieldSSB,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,FishingPressureUnits,F_Landings,F_Discards,F_IBC,F_Unallocated,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength,FAge,FLength,TypeStock,FupperWithAR,FupperWithoutAR,FlowerWithoutAR,FlowerWithAR,Published,CustomRefPointName1,CustomRefPointValue1,CustomRefPointNotes1,CustomRefPointName2,CustomRefPointValue2,CustomRefPointNotes2,CustomRefPointName3,CustomRefPointValue3,CustomRefPointNotes3,CustomRefPointName4,CustomRefPointValue4,CustomRefPointNotes4,CustomRefPointName5,CustomRefPointValue5,CustomRefPointNotes5,Custom1,CustomName1,CustomUnits1,Custom2,CustomName2,CustomUnits2,Custom3,CustomName3,CustomUnits3,Custom4,CustomName4,CustomUnits4,Custom5,CustomName5,CustomUnits5,Custom6,CustomName6,CustomUnits6,Custom7,CustomName7,CustomUnits7,Custom8,CustomName8,CustomUnits8,Custom9,CustomName9,CustomUnits9,Custom10,CustomName10,CustomUnits10,Custom11,CustomName11,CustomUnits11,Custom12,CustomName12,CustomUnits12,Custom13,CustomName13,CustomUnits13,Custom14,CustomName14,CustomUnits14,Custom15,CustomName15,CustomUnits15,Custom16,CustomName16,CustomUnits16,Custom17,CustomName17,CustomUnits17,Custom18,CustomName18,CustomUnits18,Custom19,CustomName19,CustomUnits19,Custom20,CustomName20,CustomUnits20,ConfidenceIntervalDefinition
14398,2021,lin.27.346-91214,2829,169136,Advice,1988,Ling (Molva molva) in subareas 3.4. 6–9. 12. and 14 (Northeast Atlantic and Arctic Ocean),27.12 ~ 27.12.a ~ 27.12.a.1 ~ 27.12.a.3 ~ 27.12.a.4 ~ 27.12.b ~ 27.12.c ~ 27.14 ~ 27.14.a ~ 27.14.b ~ 27.14.b.1 ~ 27.14.b.2 ~ 27.3 ~ 27.3.a ~ 27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.bc ~ 27.4 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6 ~ 27.6.a ~ 27.6.b ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7 ~ 27.7.a ~ 27.7.b ~ 27.7.c ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8 ~ 27.8.a ~ 27.8.b ~ 27.8.c ~ 27.8.d ~ 27.8.d.2 ~ 27.8.e ~ 27.8.e.1 ~ 27.8.e.2 ~ 27.9 ~ 27.9.a ~ 27.9.b ~ 27.9.b.1 ~ 27.9.b.2,Molva molva,Molva,https://doi.org/10.17895/ices.advice.7786,,,,,Recruitment,,,,,,,,B_index,Kilograms per 1000 hooks,tonnes,41056,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14398,2021,lin.27.346-91214,2829,169136,Advice,1989,Ling (Molva molva) in subareas 3.4. 6–9. 12. and 14 (Northeast Atlantic and Arctic Ocean),27.12 ~ 27.12.a ~ 27.12.a.1 ~ 27.12.a.3 ~ 27.12.a.4 ~ 27.12.b ~ 27.12.c ~ 27.14 ~ 27.14.a ~ 27.14.b ~ 27.14.b.1 ~ 27.14.b.2 ~ 27.3 ~ 27.3.a ~ 27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.bc ~ 27.4 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6 ~ 27.6.a ~ 27.6.b ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7 ~ 27.7.a ~ 27.7.b ~ 27.7.c ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8 ~ 27.8.a ~ 27.8.b ~ 27.8.c ~ 27.8.d ~ 27.8.d.2 ~ 27.8.e ~ 27.8.e.1 ~ 27.8.e.2 ~ 27.9 ~ 27.9.a ~ 27.9.b ~ 27.9.b.1 ~ 27.9.b.2,Molva molva,Molva,https://doi.org/10.17895/ices.advice.7786,,,,,Recruitment,,,,,,,,B_index,Kilograms per 1000 hooks,tonnes,34253,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14398,2021,lin.27.346-91214,2829,169136,Advice,1990,Ling (Molva molva) in subareas 3.4. 6–9. 12. and 14 (Northeast Atlantic and Arctic Ocean),27.12 ~ 27.12.a ~ 27.12.a.1 ~ 27.12.a.3 ~ 27.12.a.4 ~ 27.12.b ~ 27.12.c ~ 27.14 ~ 27.14.a ~ 27.14.b ~ 27.14.b.1 ~ 27.14.b.2 ~ 27.3 ~ 27.3.a ~ 27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.bc ~ 27.4 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6 ~ 27.6.a ~ 27.6.b ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7 ~ 27.7.a ~ 27.7.b ~ 27.7.c ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8 ~ 27.8.a ~ 27.8.b ~ 27.8.c ~ 27.8.d ~ 27.8.d.2 ~ 27.8.e ~ 27.8.e.1 ~ 27.8.e.2 ~ 27.9 ~ 27.9.a ~ 27.9.b ~ 27.9.b.1 ~ 27.9.b.2,Molva molva,Molva,https://doi.org/10.17895/ices.advice.7786,,,,,Recruitment,,,,,,,,B_index,Kilograms per 1000 hooks,tonnes,28175,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14398,2021,lin.27.346-91214,2829,169136,Advice,1991,Ling (Molva molva) in subareas 3.4. 6–9. 12. and 14 (Northeast Atlantic and Arctic Ocean),27.12 ~ 27.12.a ~ 27.12.a.1 ~ 27.12.a.3 ~ 27.12.a.4 ~ 27.12.b ~ 27.12.c ~ 27.14 ~ 27.14.a ~ 27.14.b ~ 27.14.b.1 ~ 27.14.b.2 ~ 27.3 ~ 27.3.a ~ 27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.bc ~ 27.4 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6 ~ 27.6.a ~ 27.6.b ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7 ~ 27.7.a ~ 27.7.b ~ 27.7.c ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8 ~ 27.8.a ~ 27.8.b ~ 27.8.c ~ 27.8.d ~ 27.8.d.2 ~ 27.8.e ~ 27.8.e.1 ~ 27.8.e.2 ~ 27.9 ~ 27.9.a ~ 27.9.b ~ 27.9.b.1 ~ 27.9.b.2,Molva molva,Molva,https://doi.org/10.17895/ices.advice.7786,,,,,Recruitment,,,,,,,,B_index,Kilograms per 1000 hooks,tonnes,26777,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14398,2021,lin.27.346-91214,2829,169136,Advice,1992,Ling (Molva molva) in subareas 3.4. 6–9. 12. and 14 (Northeast Atlantic and Arctic Ocean),27.12 ~ 27.12.a ~ 27.12.a.1 ~ 27.12.a.3 ~ 27.12.a.4 ~ 27.12.b ~ 27.12.c ~ 27.14 ~ 27.14.a ~ 27.14.b ~ 27.14.b.1 ~ 27.14.b.2 ~ 27.3 ~ 27.3.a ~ 27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.bc ~ 27.4 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6 ~ 27.6.a ~ 27.6.b ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7 ~ 27.7.a ~ 27.7.b ~ 27.7.c ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8 ~ 27.8.a ~ 27.8.b ~ 27.8.c ~ 27.8.d ~ 27.8.d.2 ~ 27.8.e ~ 27.8.e.1 ~ 27.8.e.2 ~ 27.9 ~ 27.9.a ~ 27.9.b ~ 27.9.b.1 ~ 27.9.b.2,Molva molva,Molva,https://doi.org/10.17895/ices.advice.7786,,,,,Recruitment,,,,,,,,B_index,Kilograms per 1000 hooks,tonnes,25644,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14398,2021,lin.27.346-91214,2829,169136,Advice,1993,Ling (Molva molva) in subareas 3.4. 6–9. 12. and 14 (Northeast Atlantic and Arctic Ocean),27.12 ~ 27.12.a ~ 27.12.a.1 ~ 27.12.a.3 ~ 27.12.a.4 ~ 27.12.b ~ 27.12.c ~ 27.14 ~ 27.14.a ~ 27.14.b ~ 27.14.b.1 ~ 27.14.b.2 ~ 27.3 ~ 27.3.a ~ 27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.bc ~ 27.4 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6 ~ 27.6.a ~ 27.6.b ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7 ~ 27.7.a ~ 27.7.b ~ 27.7.c ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8 ~ 27.8.a ~ 27.8.b ~ 27.8.c ~ 27.8.d ~ 27.8.d.2 ~ 27.8.e ~ 27.8.e.1 ~ 27.8.e.2 ~ 27.9 ~ 27.9.a ~ 27.9.b ~ 27.9.b.1 ~ 27.9.b.2,Molva molva,Molva,https://doi.org/10.17895/ices.advice.7786,,,,,Recruitment,,,,,,,,B_index,Kilograms per 1000 hooks,tonnes,28531,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14398,2021,lin.27.346-91214,2829,169136,Advice,1994,Ling (Molva molva) in subareas 3.4. 6–9. 12. and 14 (Northeast Atlantic and Arctic Ocean),27.12 ~ 27.12.a ~ 27.12.a.1 ~ 27.12.a.3 ~ 27.12.a.4 ~ 27.12.b ~ 27.12.c ~ 27.14 ~ 27.14.a ~ 27.14.b ~ 27.14.b.1 ~ 27.14.b.2 ~ 27.3 ~ 27.3.a ~ 27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.bc ~ 27.4 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6 ~ 27.6.a ~ 27.6.b ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7 ~ 27.7.a ~ 27.7.b ~ 27.7.c ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8 ~ 27.8.a ~ 27.8.b ~ 27.8.c ~ 27.8.d ~ 27.8.d.2 ~ 27.8.e ~ 27.8.e.1 ~ 27.8.e.2 ~ 27.9 ~ 27.9.a ~ 27.9.b ~ 27.9.b.1 ~ 27.9.b.2,Molva molva,Molva,https://doi.org/10.17895/ices.advice.7786,,,,,Recruitment,,,,,,,,B_index,Kilograms per 1000 hooks,tonnes,29823,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14398,2021,lin.27.346-91214,2829,169136,Advice,1995,Ling (Molva molva) in subareas 3.4. 6–9. 12. and 14 (Northeast Atlantic and Arctic Ocean),27.12 ~ 27.12.a ~ 27.12.a.1 ~ 27.12.a.3 ~ 27.12.a.4 ~ 27.12.b ~ 27.12.c ~ 27.14 ~ 27.14.a ~ 27.14.b ~ 27.14.b.1 ~ 27.14.b.2 ~ 27.3 ~ 27.3.a ~ 27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.bc ~ 27.4 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6 ~ 27.6.a ~ 27.6.b ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7 ~ 27.7.a ~ 27.7.b ~ 27.7.c ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8 ~ 27.8.a ~ 27.8.b ~ 27.8.c ~ 27.8.d ~ 27.8.d.2 ~ 27.8.e ~ 27.8.e.1 ~ 27.8.e.2 ~ 27.9 ~ 27.9.a ~ 27.9.b ~ 27.9.b.1 ~ 27.9.b.2,Molva molva,Molva,https://doi.org/10.17895/ices.advice.7786,,,,,Recruitment,,,,,,,,B_index,Kilograms per 1000 hooks,tonnes,35875,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14398,2021,lin.27.346-91214,2829,169136,Advice,1996,Ling (Molva molva) in subareas 3.4. 6–9. 12. and 14 (Northeast Atlantic and Arctic Ocean),27.12 ~ 27.12.a ~ 27.12.a.1 ~ 27.12.a.3 ~ 27.12.a.4 ~ 27.12.b ~ 27.12.c ~ 27.14 ~ 27.14.a ~ 27.14.b ~ 27.14.b.1 ~ 27.14.b.2 ~ 27.3 ~ 27.3.a ~ 27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.bc ~ 27.4 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6 ~ 27.6.a ~ 27.6.b ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7 ~ 27.7.a ~ 27.7.b ~ 27.7.c ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8 ~ 27.8.a ~ 27.8.b ~ 27.8.c ~ 27.8.d ~ 27.8.d.2 ~ 27.8.e ~ 27.8.e.1 ~ 27.8.e.2 ~ 27.9 ~ 27.9.a ~ 27.9.b ~ 27.9.b.1 ~ 27.9.b.2,Molva molva,Molva,https://doi.org/10.17895/ices.advice.7786,,,,,Recruitment,,,,,,,,B_index,Kilograms per 1000 hooks,tonnes,35555,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14398,2021,lin.27.346-91214,2829,169136,Advice,1997,Ling (Molva molva) in subareas 3.4. 6–9. 12. and 14 (Northeast Atlantic and Arctic Ocean),27.12 ~ 27.12.a ~ 27.12.a.1 ~ 27.12.a.3 ~ 27.12.a.4 ~ 27.12.b ~ 27.12.c ~ 27.14 ~ 27.14.a ~ 27.14.b ~ 27.14.b.1 ~ 27.14.b.2 ~ 27.3 ~ 27.3.a ~ 27.3.a.20 ~ 27.3.a.21 ~ 27.3.b.23 ~ 27.3.bc ~ 27.4 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6 ~ 27.6.a ~ 27.6.b ~ 27.6.b.1 ~ 27.6.b.2 ~ 27.7 ~ 27.7.a ~ 27.7.b ~ 27.7.c ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8 ~ 27.8.a ~ 27.8.b ~ 27.8.c ~ 27.8.d ~ 27.8.d.2 ~ 27.8.e ~ 27.8.e.1 ~ 27.8.e.2 ~ 27.9 ~ 27.9.a ~ 27.9.b ~ 27.9.b.1 ~ 27.9.b.2,Molva molva,Molva,https://doi.org/10.17895/ices.advice.7786,,,,,Recruitment,,,,,,,,B_index,Kilograms per 1000 hooks,tonnes,30095,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
