AssessmentKey,AssessmentYear,FishStock,StockDatabaseID,StockKey,Purpose,Year,StockDescription,ICES Areas (splited with character '~'),SpeciesName,SGName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,TotalBiomassUnits,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Discards,IBC,Unallocated_Removals,YieldSSB,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,FishingPressureUnits,F_Landings,F_Discards,F_IBC,F_Unallocated,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength,FAge,FLength,TypeStock,FupperWithAR,FupperWithoutAR,FlowerWithoutAR,FlowerWithAR,Published,CustomRefPointName1,CustomRefPointValue1,CustomRefPointNotes1,CustomRefPointName2,CustomRefPointValue2,CustomRefPointNotes2,CustomRefPointName3,CustomRefPointValue3,CustomRefPointNotes3,CustomRefPointName4,CustomRefPointValue4,CustomRefPointNotes4,CustomRefPointName5,CustomRefPointValue5,CustomRefPointNotes5,Custom1,CustomName1,CustomUnits1,Custom2,CustomName2,CustomUnits2,Custom3,CustomName3,CustomUnits3,Custom4,CustomName4,CustomUnits4,Custom5,CustomName5,CustomUnits5,Custom6,CustomName6,CustomUnits6,Custom7,CustomName7,CustomUnits7,Custom8,CustomName8,CustomUnits8,Custom9,CustomName9,CustomUnits9,Custom10,CustomName10,CustomUnits10,Custom11,CustomName11,CustomUnits11,Custom12,CustomName12,CustomUnits12,Custom13,CustomName13,CustomUnits13,Custom14,CustomName14,CustomUnits14,Custom15,CustomName15,CustomUnits15,Custom16,CustomName16,CustomUnits16,Custom17,CustomName17,CustomUnits17,Custom18,CustomName18,CustomUnits18,Custom19,CustomName19,CustomUnits19,Custom20,CustomName20,CustomUnits20,ConfidenceIntervalDefinition
14095,2021,her.27.20-24,2842,169118,Advice,1991,Herring (Clupea harengus) in subdivisions 20-24. spring spawners (Skagerrak. Kattegat. and western Baltic),27.3.a ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,Clupea harengus,,https://doi.org/10.17895/ices.advice.7766,3862967,5022943,6531238,thousands,Recruitment,496633.7244,591240.5707,703869.6635,,238967,294077,361896,SSB,tonnes,tonnes,191573.1096,,191573.1096,,,,,0.319,0.436,0.597,F,Year-1,,,,,0.45,0.41,120000,150000,0.31,150000,,,0,,3-6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14095,2021,her.27.20-24,2842,169118,Advice,1992,Herring (Clupea harengus) in subdivisions 20-24. spring spawners (Skagerrak. Kattegat. and western Baltic),27.3.a ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,Clupea harengus,,https://doi.org/10.17895/ices.advice.7766,2880796,3630255,4574690,thousands,Recruitment,437446.0443,518500.9547,614574.6281,,245962,300530,367206,SSB,tonnes,tonnes,194408.2183,,194408.2183,,,,,0.393,0.506,0.652,F,Year-1,,,,,0.45,0.41,120000,150000,0.31,150000,,,0,,3-6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14095,2021,her.27.20-24,2842,169118,Advice,1993,Herring (Clupea harengus) in subdivisions 20-24. spring spawners (Skagerrak. Kattegat. and western Baltic),27.3.a ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,Clupea harengus,,https://doi.org/10.17895/ices.advice.7766,2369000,3060821,3954675,thousands,Recruitment,379981.5619,452237.9095,538234.3441,,233802,284750,346799,SSB,tonnes,tonnes,185009.6325,,185009.6325,,,,,0.445,0.574,0.739,F,Year-1,,,,,0.45,0.41,120000,150000,0.31,150000,,,0,,3-6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14095,2021,her.27.20-24,2842,169118,Advice,1994,Herring (Clupea harengus) in subdivisions 20-24. spring spawners (Skagerrak. Kattegat. and western Baltic),27.3.a ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,Clupea harengus,,https://doi.org/10.17895/ices.advice.7766,3526940,4514044,5777413,thousands,Recruitment,313585.1461,372079.3806,441484.768,,185793,225900,274666,SSB,tonnes,tonnes,172438.8966,,172438.8966,,,,,0.468,0.598,0.766,F,Year-1,,,,,0.45,0.41,120000,150000,0.31,150000,,,0,,3-6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14095,2021,her.27.20-24,2842,169118,Advice,1995,Herring (Clupea harengus) in subdivisions 20-24. spring spawners (Skagerrak. Kattegat. and western Baltic),27.3.a ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,Clupea harengus,,https://doi.org/10.17895/ices.advice.7766,3323087,4196456,5299361,thousands,Recruitment,264888.104,314615.4781,373678.1591,,158677,193972,237118,SSB,tonnes,tonnes,150819.6448,,150819.6448,,,,,0.464,0.604,0.785,F,Year-1,,,,,0.45,0.41,120000,150000,0.31,150000,,,0,,3-6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14095,2021,her.27.20-24,2842,169118,Advice,1996,Herring (Clupea harengus) in subdivisions 20-24. spring spawners (Skagerrak. Kattegat. and western Baltic),27.3.a ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,Clupea harengus,,https://doi.org/10.17895/ices.advice.7766,3327521,4185013,5263477,thousands,Recruitment,237487.933,277978.7171,325373.025,,110267,133192,160884,SSB,tonnes,tonnes,121260.2811,,121260.2811,,,,,0.513,0.656,0.84,F,Year-1,,,,,0.45,0.41,120000,150000,0.31,150000,,,0,,3-6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14095,2021,her.27.20-24,2842,169118,Advice,1997,Herring (Clupea harengus) in subdivisions 20-24. spring spawners (Skagerrak. Kattegat. and western Baltic),27.3.a ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,Clupea harengus,,https://doi.org/10.17895/ices.advice.7766,2725647,3489204,4466663,thousands,Recruitment,237384.1412,278868.8735,327603.3867,,121995,147001,177132,SSB,tonnes,tonnes,115584.9068,,115584.9068,,,,,0.496,0.635,0.811,F,Year-1,,,,,0.45,0.41,120000,150000,0.31,150000,,,0,,3-6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14095,2021,her.27.20-24,2842,169118,Advice,1998,Herring (Clupea harengus) in subdivisions 20-24. spring spawners (Skagerrak. Kattegat. and western Baltic),27.3.a ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,Clupea harengus,,https://doi.org/10.17895/ices.advice.7766,3631603,4590581,5802791,thousands,Recruitment,225752.8018,263238.7041,306949.0822,,99253,118707,141973,SSB,tonnes,tonnes,107032.9467,,107032.9467,,,,,0.48,0.618,0.794,F,Year-1,,,,,0.45,0.41,120000,150000,0.31,150000,,,0,,3-6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14095,2021,her.27.20-24,2842,169118,Advice,1999,Herring (Clupea harengus) in subdivisions 20-24. spring spawners (Skagerrak. Kattegat. and western Baltic),27.3.a ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,Clupea harengus,,https://doi.org/10.17895/ices.advice.7766,3901140,4901369,6158050,thousands,Recruitment,229986.4355,267183.1119,310395.7638,,99572,119183,142657,SSB,tonnes,tonnes,97234.4007,,97234.4007,,,,,0.411,0.528,0.679,F,Year-1,,,,,0.45,0.41,120000,150000,0.31,150000,,,0,,3-6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14095,2021,her.27.20-24,2842,169118,Advice,2000,Herring (Clupea harengus) in subdivisions 20-24. spring spawners (Skagerrak. Kattegat. and western Baltic),27.3.a ~ 27.3.b.23 ~ 27.3.c.22 ~ 27.3.d.24,Clupea harengus,,https://doi.org/10.17895/ices.advice.7766,2385673,2993894,3757179,thousands,Recruitment,220967.3289,256794.6051,298430.8563,,103364,123386,147287,SSB,tonnes,tonnes,118276.7949,,118276.7949,,,,,0.457,0.573,0.718,F,Year-1,,,,,0.45,0.41,120000,150000,0.31,150000,,,0,,3-6,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
