AssessmentKey,AssessmentYear,FishStock,StockDatabaseID,StockKey,Purpose,Year,StockDescription,ICES Areas (splited with character '~'),SpeciesName,SGName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,TotalBiomassUnits,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Discards,IBC,Unallocated_Removals,YieldSSB,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,FishingPressureUnits,F_Landings,F_Discards,F_IBC,F_Unallocated,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength,FAge,FLength,TypeStock,FupperWithAR,FupperWithoutAR,FlowerWithoutAR,FlowerWithAR,Published,CustomRefPointName1,CustomRefPointValue1,CustomRefPointNotes1,CustomRefPointName2,CustomRefPointValue2,CustomRefPointNotes2,CustomRefPointName3,CustomRefPointValue3,CustomRefPointNotes3,CustomRefPointName4,CustomRefPointValue4,CustomRefPointNotes4,CustomRefPointName5,CustomRefPointValue5,CustomRefPointNotes5,Custom1,CustomName1,CustomUnits1,Custom2,CustomName2,CustomUnits2,Custom3,CustomName3,CustomUnits3,Custom4,CustomName4,CustomUnits4,Custom5,CustomName5,CustomUnits5,Custom6,CustomName6,CustomUnits6,Custom7,CustomName7,CustomUnits7,Custom8,CustomName8,CustomUnits8,Custom9,CustomName9,CustomUnits9,Custom10,CustomName10,CustomUnits10,Custom11,CustomName11,CustomUnits11,Custom12,CustomName12,CustomUnits12,Custom13,CustomName13,CustomUnits13,Custom14,CustomName14,CustomUnits14,Custom15,CustomName15,CustomUnits15,Custom16,CustomName16,CustomUnits16,Custom17,CustomName17,CustomUnits17,Custom18,CustomName18,CustomUnits18,Custom19,CustomName19,CustomUnits19,Custom20,CustomName20,CustomUnits20,ConfidenceIntervalDefinition
14163,2021,cod.27.1-2.coastN,2938,169080,Replaced,1994,Cod (Gadus morhua) in subareas 1 and 2. north of 67°N (Norwegian Sea and Barents Sea). northern Norwegian coastal cod,27.1 ~ 27.2 ~ 27.2.a,Gadus morhua,,https://doi.org/10.17895/ices.advice.7986,64940,93167,133663,Number of individuals (fisheries),Recruitment,270300,309739,354933,,102525,121460,143892,SSB,tonnes,tonnes,52579,,52579,,,,,0.194,0.236,0.287,F,Year-1,,,,,,,115782,147843,,,,,2,,4-7,,,,,,,True,,,,,,,,,,,,,,,,9144,RecreationalCatch,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14163,2021,cod.27.1-2.coastN,2938,169080,Replaced,1995,Cod (Gadus morhua) in subareas 1 and 2. north of 67°N (Norwegian Sea and Barents Sea). northern Norwegian coastal cod,27.1 ~ 27.2 ~ 27.2.a,Gadus morhua,,https://doi.org/10.17895/ices.advice.7986,86771,118218,161062,Number of individuals (fisheries),Recruitment,264867,298854,337203,,87017,102158,119934,SSB,tonnes,tonnes,56907,,56907,,,,,0.255,0.303,0.361,F,Year-1,,,,,,,115782,147843,,,,,2,,4-7,,,,,,,True,,,,,,,,,,,,,,,,9144,RecreationalCatch,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14163,2021,cod.27.1-2.coastN,2938,169080,Replaced,1996,Cod (Gadus morhua) in subareas 1 and 2. north of 67°N (Norwegian Sea and Barents Sea). northern Norwegian coastal cod,27.1 ~ 27.2 ~ 27.2.a,Gadus morhua,,https://doi.org/10.17895/ices.advice.7986,103458,141681,194025,Number of individuals (fisheries),Recruitment,224115,253383,286474,,68850,80532,94195,SSB,tonnes,tonnes,41820,,41820,,,,,0.277,0.328,0.388,F,Year-1,,,,,,,115782,147843,,,,,2,,4-7,,,,,,,True,,,,,,,,,,,,,,,,9020,RecreationalCatch,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14163,2021,cod.27.1-2.coastN,2938,169080,Replaced,1997,Cod (Gadus morhua) in subareas 1 and 2. north of 67°N (Norwegian Sea and Barents Sea). northern Norwegian coastal cod,27.1 ~ 27.2 ~ 27.2.a,Gadus morhua,,https://doi.org/10.17895/ices.advice.7986,96508,131307,178652,Number of individuals (fisheries),Recruitment,208897,238844,273083,,56184,65430,76196,SSB,tonnes,tonnes,46605,,46605,,,,,0.335,0.395,0.466,F,Year-1,,,,,,,115782,147843,,,,,2,,4-7,,,,,,,True,,,,,,,,,,,,,,,,9020,RecreationalCatch,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14163,2021,cod.27.1-2.coastN,2938,169080,Replaced,1998,Cod (Gadus morhua) in subareas 1 and 2. north of 67°N (Norwegian Sea and Barents Sea). northern Norwegian coastal cod,27.1 ~ 27.2 ~ 27.2.a,Gadus morhua,,https://doi.org/10.17895/ices.advice.7986,82418,111445,150695,Number of individuals (fisheries),Recruitment,225417,259744,299299,,47967,56474,66489,SSB,tonnes,tonnes,45462,,45462,,,,,0.351,0.417,0.496,F,Year-1,,,,,,,115782,147843,,,,,2,,4-7,,,,,,,True,,,,,,,,,,,,,,,,9082,RecreationalCatch,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14163,2021,cod.27.1-2.coastN,2938,169080,Replaced,1999,Cod (Gadus morhua) in subareas 1 and 2. north of 67°N (Norwegian Sea and Barents Sea). northern Norwegian coastal cod,27.1 ~ 27.2 ~ 27.2.a,Gadus morhua,,https://doi.org/10.17895/ices.advice.7986,69919,94384,127409,Number of individuals (fisheries),Recruitment,197574,227431,261800,,39424,46915,55829,SSB,tonnes,tonnes,38743,,38743,,,,,0.321,0.383,0.459,F,Year-1,,,,,,,115782,147843,,,,,2,,4-7,,,,,,,True,,,,,,,,,,,,,,,,8646,RecreationalCatch,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14163,2021,cod.27.1-2.coastN,2938,169080,Replaced,2000,Cod (Gadus morhua) in subareas 1 and 2. north of 67°N (Norwegian Sea and Barents Sea). northern Norwegian coastal cod,27.1 ~ 27.2 ~ 27.2.a,Gadus morhua,,https://doi.org/10.17895/ices.advice.7986,60737,81853,110309,Number of individuals (fisheries),Recruitment,202456,233031,268225,,45426,53922,64006,SSB,tonnes,tonnes,33081,,33081,,,,,0.233,0.281,0.339,F,Year-1,,,,,,,115782,147843,,,,,2,,4-7,,,,,,,True,,,,,,,,,,,,,,,,8460,RecreationalCatch,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14163,2021,cod.27.1-2.coastN,2938,169080,Replaced,2001,Cod (Gadus morhua) in subareas 1 and 2. north of 67°N (Norwegian Sea and Barents Sea). northern Norwegian coastal cod,27.1 ~ 27.2 ~ 27.2.a,Gadus morhua,,https://doi.org/10.17895/ices.advice.7986,55615,74792,100582,Number of individuals (fisheries),Recruitment,199481,229830,264797,,59298,69821,82211,SSB,tonnes,tonnes,24470,,24470,,,,,0.196,0.237,0.285,F,Year-1,,,,,,,115782,147843,,,,,2,,4-7,,,,,,,True,,,,,,,,,,,,,,,,8335,RecreationalCatch,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14163,2021,cod.27.1-2.coastN,2938,169080,Replaced,2002,Cod (Gadus morhua) in subareas 1 and 2. north of 67°N (Norwegian Sea and Barents Sea). northern Norwegian coastal cod,27.1 ~ 27.2 ~ 27.2.a,Gadus morhua,,https://doi.org/10.17895/ices.advice.7986,54133,71973,95692,Number of individuals (fisheries),Recruitment,211543,241969,276771,,71350,83623,98007,SSB,tonnes,tonnes,32188,,32188,,,,,0.212,0.254,0.305,F,Year-1,,,,,,,115782,147843,,,,,2,,4-7,,,,,,,True,,,,,,,,,,,,,,,,8460,RecreationalCatch,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14163,2021,cod.27.1-2.coastN,2938,169080,Replaced,2003,Cod (Gadus morhua) in subareas 1 and 2. north of 67°N (Norwegian Sea and Barents Sea). northern Norwegian coastal cod,27.1 ~ 27.2 ~ 27.2.a,Gadus morhua,,https://doi.org/10.17895/ices.advice.7986,50342,64546,82760,Number of individuals (fisheries),Recruitment,197282,225252,257187,,60137,70424,82471,SSB,tonnes,tonnes,29253,,29253,,,,,0.199,0.239,0.286,F,Year-1,,,,,,,115782,147843,,,,,2,,4-7,,,,,,,True,,,,,,,,,,,,,,,,8646,RecreationalCatch,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
