AssessmentKey,AssessmentYear,FishStock,StockDatabaseID,StockKey,Purpose,Year,StockDescription,ICES Areas (splited with character '~'),SpeciesName,SGName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,TotalBiomassUnits,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Discards,IBC,Unallocated_Removals,YieldSSB,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,FishingPressureUnits,F_Landings,F_Discards,F_IBC,F_Unallocated,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength,FAge,FLength,TypeStock,FupperWithAR,FupperWithoutAR,FlowerWithoutAR,FlowerWithAR,Published,CustomRefPointName1,CustomRefPointValue1,CustomRefPointNotes1,CustomRefPointName2,CustomRefPointValue2,CustomRefPointNotes2,CustomRefPointName3,CustomRefPointValue3,CustomRefPointNotes3,CustomRefPointName4,CustomRefPointValue4,CustomRefPointNotes4,CustomRefPointName5,CustomRefPointValue5,CustomRefPointNotes5,Custom1,CustomName1,CustomUnits1,Custom2,CustomName2,CustomUnits2,Custom3,CustomName3,CustomUnits3,Custom4,CustomName4,CustomUnits4,Custom5,CustomName5,CustomUnits5,Custom6,CustomName6,CustomUnits6,Custom7,CustomName7,CustomUnits7,Custom8,CustomName8,CustomUnits8,Custom9,CustomName9,CustomUnits9,Custom10,CustomName10,CustomUnits10,Custom11,CustomName11,CustomUnits11,Custom12,CustomName12,CustomUnits12,Custom13,CustomName13,CustomUnits13,Custom14,CustomName14,CustomUnits14,Custom15,CustomName15,CustomUnits15,Custom16,CustomName16,CustomUnits16,Custom17,CustomName17,CustomUnits17,Custom18,CustomName18,CustomUnits18,Custom19,CustomName19,CustomUnits19,Custom20,CustomName20,CustomUnits20,ConfidenceIntervalDefinition
14295,2021,ank.27.78abd,2925,195875,Advice,1986,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,8217,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1987,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,7618,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1988,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,8381,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1989,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,8821,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1990,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,9631,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1991,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,8779,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1992,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,8176,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1993,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,6567,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1994,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,5745,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1995,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,6954,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1996,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,8093,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1997,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,8116,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1998,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,8598,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,1999,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,6738,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,2000,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,6644,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,2001,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,5728,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,2002,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,,,,Numbers per hour (fisheries),Abundance Index,,,,,,,,Biomass Index,Kilograms per hour,tonnes,6505,,,,,,,,,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,2003,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,0.07489,0.1801,0.2852,Numbers per hour (fisheries),Abundance Index,,,,,0.6623,1.03,1.397,Biomass Index,Kilograms per hour,tonnes,8171,,8351,179.2,,,,,1.921,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
14295,2021,ank.27.78abd,2925,195875,Advice,2004,Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas. Bay of Biscay),27.7.a ~ 27.7.b ~ 27.7.c.1 ~ 27.7.c.2 ~ 27.7.d ~ 27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2 ~ 27.8.a ~ 27.8.b ~ 27.8.d.1 ~ 27.8.d.2,Lophius budegassa,,https://doi.org/10.17895/ices.advice.7724,1.008,1.927,2.846,Numbers per hour (fisheries),Abundance Index,,,,,0.8242,1.228,1.633,Biomass Index,Kilograms per hour,tonnes,7537,,8213,676.3,,,,,1.583,,F/Fmsy,ratio,,,,,,,,,,,,,,16,,,,,,,,True,F/FMSY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95%
