AssessmentKey,AssessmentYear,FishStock,StockDatabaseID,StockKey,Purpose,Year,StockDescription,ICES Areas (splited with character '~'),SpeciesName,SGName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,TotalBiomassUnits,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Discards,IBC,Unallocated_Removals,YieldSSB,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,FishingPressureUnits,F_Landings,F_Discards,F_IBC,F_Unallocated,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength,FAge,FLength,TypeStock,FupperWithAR,FupperWithoutAR,FlowerWithoutAR,FlowerWithAR,Published,CustomRefPointName1,CustomRefPointValue1,CustomRefPointNotes1,CustomRefPointName2,CustomRefPointValue2,CustomRefPointNotes2,CustomRefPointName3,CustomRefPointValue3,CustomRefPointNotes3,CustomRefPointName4,CustomRefPointValue4,CustomRefPointNotes4,CustomRefPointName5,CustomRefPointValue5,CustomRefPointNotes5,Custom1,CustomName1,CustomUnits1,Custom2,CustomName2,CustomUnits2,Custom3,CustomName3,CustomUnits3,Custom4,CustomName4,CustomUnits4,Custom5,CustomName5,CustomUnits5,Custom6,CustomName6,CustomUnits6,Custom7,CustomName7,CustomUnits7,Custom8,CustomName8,CustomUnits8,Custom9,CustomName9,CustomUnits9,Custom10,CustomName10,CustomUnits10,Custom11,CustomName11,CustomUnits11,Custom12,CustomName12,CustomUnits12,Custom13,CustomName13,CustomUnits13,Custom14,CustomName14,CustomUnits14,Custom15,CustomName15,CustomUnits15,Custom16,CustomName16,CustomUnits16,Custom17,CustomName17,CustomUnits17,Custom18,CustomName18,CustomUnits18,Custom19,CustomName19,CustomUnits19,Custom20,CustomName20,CustomUnits20,ConfidenceIntervalDefinition
14051,2021,san.sa.5r,2693,169250,Advice,1982,Sandeel (Ammodytes spp.) in Division 4.a. Sandeel Area 5r (northern North Sea. Viking and Bergen banks),27.4.a,Ammodytes,,https://doi.org/10.17895/ices.advice.7676,,,,,Recruitment,,,,,,,,SSB,tonnes,tonnes,,,7393.479046,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051,2021,san.sa.5r,2693,169250,Advice,1983,Sandeel (Ammodytes spp.) in Division 4.a. Sandeel Area 5r (northern North Sea. Viking and Bergen banks),27.4.a,Ammodytes,,https://doi.org/10.17895/ices.advice.7676,,,,,Recruitment,,,,,,,,SSB,tonnes,tonnes,,,0,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051,2021,san.sa.5r,2693,169250,Advice,1984,Sandeel (Ammodytes spp.) in Division 4.a. Sandeel Area 5r (northern North Sea. Viking and Bergen banks),27.4.a,Ammodytes,,https://doi.org/10.17895/ices.advice.7676,,,,,Recruitment,,,,,,,,SSB,tonnes,tonnes,,,5820.6708,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051,2021,san.sa.5r,2693,169250,Advice,1985,Sandeel (Ammodytes spp.) in Division 4.a. Sandeel Area 5r (northern North Sea. Viking and Bergen banks),27.4.a,Ammodytes,,https://doi.org/10.17895/ices.advice.7676,,,,,Recruitment,,,,,,,,SSB,tonnes,tonnes,,,3003.864734,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051,2021,san.sa.5r,2693,169250,Advice,1986,Sandeel (Ammodytes spp.) in Division 4.a. Sandeel Area 5r (northern North Sea. Viking and Bergen banks),27.4.a,Ammodytes,,https://doi.org/10.17895/ices.advice.7676,,,,,Recruitment,,,,,,,,SSB,tonnes,tonnes,,,627.6131243,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051,2021,san.sa.5r,2693,169250,Advice,1987,Sandeel (Ammodytes spp.) in Division 4.a. Sandeel Area 5r (northern North Sea. Viking and Bergen banks),27.4.a,Ammodytes,,https://doi.org/10.17895/ices.advice.7676,,,,,Recruitment,,,,,,,,SSB,tonnes,tonnes,,,1713.486719,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051,2021,san.sa.5r,2693,169250,Advice,1988,Sandeel (Ammodytes spp.) in Division 4.a. Sandeel Area 5r (northern North Sea. Viking and Bergen banks),27.4.a,Ammodytes,,https://doi.org/10.17895/ices.advice.7676,,,,,Recruitment,,,,,,,,SSB,tonnes,tonnes,,,0,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051,2021,san.sa.5r,2693,169250,Advice,1989,Sandeel (Ammodytes spp.) in Division 4.a. Sandeel Area 5r (northern North Sea. Viking and Bergen banks),27.4.a,Ammodytes,,https://doi.org/10.17895/ices.advice.7676,,,,,Recruitment,,,,,,,,SSB,tonnes,tonnes,,,2902.800874,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051,2021,san.sa.5r,2693,169250,Advice,1990,Sandeel (Ammodytes spp.) in Division 4.a. Sandeel Area 5r (northern North Sea. Viking and Bergen banks),27.4.a,Ammodytes,,https://doi.org/10.17895/ices.advice.7676,,,,,Recruitment,,,,,,,,SSB,tonnes,tonnes,,,373.8978993,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051,2021,san.sa.5r,2693,169250,Advice,1991,Sandeel (Ammodytes spp.) in Division 4.a. Sandeel Area 5r (northern North Sea. Viking and Bergen banks),27.4.a,Ammodytes,,https://doi.org/10.17895/ices.advice.7676,,,,,Recruitment,,,,,,,,SSB,tonnes,tonnes,,,1168.060634,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
