AssessmentKey,AssessmentYear,FishStock,StockDatabaseID,StockKey,Purpose,Year,StockDescription,ICES Areas (splited with character '~'),SpeciesName,SGName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,TotalBiomassUnits,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Discards,IBC,Unallocated_Removals,YieldSSB,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,FishingPressureUnits,F_Landings,F_Discards,F_IBC,F_Unallocated,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength,FAge,FLength,TypeStock,FupperWithAR,FupperWithoutAR,FlowerWithoutAR,FlowerWithAR,Published,CustomRefPointName1,CustomRefPointValue1,CustomRefPointNotes1,CustomRefPointName2,CustomRefPointValue2,CustomRefPointNotes2,CustomRefPointName3,CustomRefPointValue3,CustomRefPointNotes3,CustomRefPointName4,CustomRefPointValue4,CustomRefPointNotes4,CustomRefPointName5,CustomRefPointValue5,CustomRefPointNotes5,Custom1,CustomName1,CustomUnits1,Custom2,CustomName2,CustomUnits2,Custom3,CustomName3,CustomUnits3,Custom4,CustomName4,CustomUnits4,Custom5,CustomName5,CustomUnits5,Custom6,CustomName6,CustomUnits6,Custom7,CustomName7,CustomUnits7,Custom8,CustomName8,CustomUnits8,Custom9,CustomName9,CustomUnits9,Custom10,CustomName10,CustomUnits10,Custom11,CustomName11,CustomUnits11,Custom12,CustomName12,CustomUnits12,Custom13,CustomName13,CustomUnits13,Custom14,CustomName14,CustomUnits14,Custom15,CustomName15,CustomUnits15,Custom16,CustomName16,CustomUnits16,Custom17,CustomName17,CustomUnits17,Custom18,CustomName18,CustomUnits18,Custom19,CustomName19,CustomUnits19,Custom20,CustomName20,CustomUnits20,ConfidenceIntervalDefinition
14181,2021,had.27.5a,2804,169112,Advice,1979,Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds),27.5.a.1 ~ 27.5.a.2,Melanogrammus aeglefinus,,https://doi.org/10.17895/ices.advice.7760,,79447,,,,,240.2,,,,67386,,SSB/B45cm,tonnes,,51009,,51009,0,,,,,0.588,,F/Harvest rate,ratio,,,,,,,35500,49400,,49400,,,2,,4-7,,,,,,,True,HRmgt = HRmsy,0.35,,HRpa,0.35,,HRlim,0.63,,,,,,,,86748,B45cm,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14181,2021,had.27.5a,2804,169112,Advice,1980,Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds),27.5.a.1 ~ 27.5.a.2,Melanogrammus aeglefinus,,https://doi.org/10.17895/ices.advice.7760,,39612,,,,,247.9,,,,85824,,SSB/B45cm,tonnes,,46314,,46314,0,,,,,0.387,,F/Harvest rate,ratio,,,,,,,35500,49400,,49400,,,2,,4-7,,,,,,,True,HRmgt = HRmsy,0.35,,HRpa,0.35,,HRlim,0.63,,,,,,,,119679,B45cm,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14181,2021,had.27.5a,2804,169112,Advice,1981,Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds),27.5.a.1 ~ 27.5.a.2,Melanogrammus aeglefinus,,https://doi.org/10.17895/ices.advice.7760,,10503,,,,,243,,,,104420,,SSB/B45cm,tonnes,,56655,,56655,0,,,,,0.3627,,F/Harvest rate,ratio,,,,,,,35500,49400,,49400,,,2,,4-7,,,,,,,True,HRmgt = HRmsy,0.35,,HRpa,0.35,,HRlim,0.63,,,,,,,,156183,B45cm,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14181,2021,had.27.5a,2804,169112,Advice,1982,Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds),27.5.a.1 ~ 27.5.a.2,Melanogrammus aeglefinus,,https://doi.org/10.17895/ices.advice.7760,,46016,,,,,208.5,,,,100650,,SSB/B45cm,tonnes,,69385,,69385,0,,,,,0.4484,,F/Harvest rate,ratio,,,,,,,35500,49400,,49400,,,2,,4-7,,,,,,,True,HRmgt = HRmsy,0.35,,HRpa,0.35,,HRlim,0.63,,,,,,,,154722,B45cm,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14181,2021,had.27.5a,2804,169112,Advice,1983,Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds),27.5.a.1 ~ 27.5.a.2,Melanogrammus aeglefinus,,https://doi.org/10.17895/ices.advice.7760,,33976,,,,,178.8,,,,79269,,SSB/B45cm,tonnes,,65869,,65869,0,,,,,0.5694,,F/Harvest rate,ratio,,,,,,,35500,49400,,49400,,,2,,4-7,,,,,,,True,HRmgt = HRmsy,0.35,,HRpa,0.35,,HRlim,0.63,,,,,,,,115673,B45cm,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14181,2021,had.27.5a,2804,169112,Advice,1984,Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds),27.5.a.1 ~ 27.5.a.2,Melanogrammus aeglefinus,,https://doi.org/10.17895/ices.advice.7760,,17879,,,,,145.1,,,,60868,,SSB/B45cm,tonnes,,48236,,48236,0,,,,,0.541,,F/Harvest rate,ratio,,,,,,,35500,49400,,49400,,,2,,4-7,,,,,,,True,HRmgt = HRmsy,0.35,,HRpa,0.35,,HRlim,0.63,,,,,,,,89157,B45cm,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14181,2021,had.27.5a,2804,169112,Advice,1985,Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds),27.5.a.1 ~ 27.5.a.2,Melanogrammus aeglefinus,,https://doi.org/10.17895/ices.advice.7760,,46675,,,,,128.8,,,,49929,,SSB/B45cm,tonnes,,50953,,50953,0,,,,,0.5554,,F/Harvest rate,ratio,,,,,,,35500,49400,,49400,,,2,,4-7,,,,,,,True,HRmgt = HRmsy,0.35,,HRpa,0.35,,HRlim,0.63,,,,,,,,91739,B45cm,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14181,2021,had.27.5a,2804,169112,Advice,1986,Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds),27.5.a.1 ~ 27.5.a.2,Melanogrammus aeglefinus,,https://doi.org/10.17895/ices.advice.7760,,93923,,,,,130.5,,,,40824,,SSB/B45cm,tonnes,,48881,,48881,0,,,,,0.6349,,F/Harvest rate,ratio,,,,,,,35500,49400,,49400,,,2,,4-7,,,,,,,True,HRmgt = HRmsy,0.35,,HRpa,0.35,,HRlim,0.63,,,,,,,,76991,B45cm,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14181,2021,had.27.5a,2804,169112,Advice,1987,Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds),27.5.a.1 ~ 27.5.a.2,Melanogrammus aeglefinus,,https://doi.org/10.17895/ices.advice.7760,,162144,,,,,160.6,,,,35291,,SSB/B45cm,tonnes,,41028,,41028,0,,,,,0.6235,,F/Harvest rate,ratio,,,,,,,35500,49400,,49400,,,2,,4-7,,,,,,,True,HRmgt = HRmsy,0.35,,HRpa,0.35,,HRlim,0.63,,,,,,,,65807,B45cm,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14181,2021,had.27.5a,2804,169112,Advice,1988,Haddock (Melanogrammus aeglefinus) in Division 5.a (Iceland grounds),27.5.a.1 ~ 27.5.a.2,Melanogrammus aeglefinus,,https://doi.org/10.17895/ices.advice.7760,,41538,,,,,241,,,,53256,,SSB/B45cm,tonnes,,54148,,54148,0,,,,,0.5899,,F/Harvest rate,ratio,,,,,,,35500,49400,,49400,,,2,,4-7,,,,,,,True,HRmgt = HRmsy,0.35,,HRpa,0.35,,HRlim,0.63,,,,,,,,91793,B45cm,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
