fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
cod.27.1-2.pdf,,1987,,595000,560000,523071,,,,,,,,
cod.27.1-2.pdf,,1988,,530000,590000,434939,,,,,,,,
cod.27.1-2.pdf,,1989,,335000,300000,332481,,,,,,,,
cod.27.1-2.pdf,,1990,,172000,160000,212000,,,,25000,,,,
cod.27.1-2.pdf,,1991,,215000,215000,319158,,,,50000,,,,
cod.27.1-2.pdf,,1992,,250000,356000,513234,,,,130000,,,,
cod.27.1-2.pdf,,1993,,256000,500000,581611,,,,50000,,,,
cod.27.1-2.pdf,,1994,,649000,700000,771086,,,,25000,,,,
cod.27.1-2.pdf,,1995,,681000,700000,739999,,,,,,,,
cod.27.1-2.pdf,,1996,,746000,700000,732228,,,,,,,,
cod.27.1-2.pdf,,1997,,993000,850000,762403,,,,,,,,
cod.27.1-2.pdf,,1998,,514000,654000,592624,,,,,,,,
cod.27.1-2.pdf,,1999,,360000,480000,484910,,,,,,,,
cod.27.1-2.pdf,,2000,,110000,390000,414870,,,,,,,,
cod.27.1-2.pdf,,2001,,263000,395000,426471,,,,,,,,
cod.27.1-2.pdf,,2002,,181000,395000,535045,,,,90000,,,,
cod.27.1-2.pdf,,2003,,305000,395000,551990,,,,115000,,,,
cod.27.1-2.pdf,,2004,,398000,486000,606445,,,,117000,,,,
cod.27.1-2.pdf,,2005,,485000,485000,641276,,,,166000,,,,
cod.27.1-2.pdf,,2006,,471000,471000,537642,,,,67100,,,,
cod.27.1-2.pdf,,2007,,309000,424000,486883,,,,41087,,,,
cod.27.1-2.pdf,,2008,,409000,430000,464171,,,,15000,,,,
cod.27.1-2.pdf,,2009,,473000,525000,523431,,,,0,,,,
cod.27.1-2.pdf,,2010,,577500,607000,609983,,,,0,,,,
cod.27.1-2.pdf,,2011,,703000,703000,719829,,,,0,,,,
cod.27.1-2.pdf,,2012,,751000,751000,727663,,,,0,,,,
cod.27.1-2.pdf,,2013,,940000,1000000,966209,,,,0,,,,
cod.27.1-2.pdf,,2014,,993000,993000,986449,,,,0,,,,
cod.27.1-2.pdf,,2015,,894000,894000,864384,,,,0,,,,
cod.27.1-2.pdf,,2016,,805000,894000,849422,,,,0,,,,
cod.27.1-2.pdf,,2017,,805000,890000,868276,,,,0,,,,
cod.27.1-2.pdf,,2018,,712000,775000,778627,,,,0,,,,
cod.27.1-2.pdf,,2019,,674678,725000,692609,,,,0,,,,
cod.27.1-2.pdf,,2020,,689672,738000,692903,,,,0,,,,
cod.27.1-2.pdf,,2021,,885600,885600,,,,,,,,,
cod.27.1-2.pdf,,2022,,708480,,,,,,,,,,
ghl.27.561214.pdf,,1987,,28000,,46622,,,,,,,,
ghl.27.561214.pdf,,1988,,28000,,51118,,,,,,,,
ghl.27.561214.pdf,,1989,,33000,,61396,,,,,,,,
ghl.27.561214.pdf,,1990,,,,39326,,,,,,,,missing
ghl.27.561214.pdf,,1991,,40000,,37950,,,,,,,,
ghl.27.561214.pdf,,1992,,30000,,35487,,,,,,,,
ghl.27.561214.pdf,,1993,,28000,,41247,,,,,,,,
ghl.27.561214.pdf,,1994,,34000,,37190,,,,,,,,
ghl.27.561214.pdf,,1995,,32000,,36288,,,,,,,,
ghl.27.561214.pdf,,1996,,21000,,35932,,,,,,,,
ghl.27.561214.pdf,,1997,,13000,,30309,,,,,,,,
ghl.27.561214.pdf,,1998,,11000,,20382,,,,,,,,
ghl.27.561214.pdf,,1999,,11000,,20371,,,,,,,,
ghl.27.561214.pdf,,2000,,11000,,26644,,,,,,,,
ghl.27.561214.pdf,,2001,,20000,,27291,,,,,,,,
ghl.27.561214.pdf,,2002,,21000,,29158,,,,,,,,
ghl.27.561214.pdf,,2003,,23000,,30891,,,,,,,,
ghl.27.561214.pdf,,2004,,20000,,27102,,,,,,,,
ghl.27.561214.pdf,,2005,,15000,,24249,,,,,,,,
ghl.27.561214.pdf,,2006,,15000,,21432,,,,,,,,
ghl.27.561214.pdf,,2007,,15000,,20957,,,,,,,,
ghl.27.561214.pdf,,2008,,15000,,22169,,,,,,,,
ghl.27.561214.pdf,,2009,,5000,,27349,,,,,,,,
ghl.27.561214.pdf,,2010,,5000,,25995,,,,,,,,
ghl.27.561214.pdf,,2011,,5000,,26424,,,,,,,,
ghl.27.561214.pdf,,2012,,,,29309,,,,,,,,missing
ghl.27.561214.pdf,,2013,,20000,,27045,,,,,,,,
ghl.27.561214.pdf,,2014,,20000,,21069,,,,,,,,
ghl.27.561214.pdf,,2015,,25000,,25677,,,,,,,,
ghl.27.561214.pdf,,2016,,22000,,25397,,,,,,,,
ghl.27.561214.pdf,,2017,,24000,,23466,,,,,,,,
ghl.27.561214.pdf,,2018,,24000,,27142,,,,,,,,
ghl.27.561214.pdf,,2019,,24150,,23428,,,,,,,,
ghl.27.561214.pdf,,2020,,21360,,22669,,,,,,,,
ghl.27.561214.pdf,,2021,,23530,,23802,,,,,,,,
ghl.27.561214.pdf,,2022,,26650,,,,,,,,,,
ghl.27.561214.pdf,,2023,,26710,,,,,,,,,,
had.27.1-2.pdf,,1987,,160000,250000,,,,,154916,,,,
had.27.1-2.pdf,,1988,,240000,240000,,,,,95255,,,,
had.27.1-2.pdf,,1989,,69000,83000,,,,,58518,,,,
had.27.1-2.pdf,,1990,,,25000,,,,,27182,,,,
had.27.1-2.pdf,,1991,,,28000,,,,,36216,,,,
had.27.1-2.pdf,,1992,,35000,63000,,,,,59922,,,,
had.27.1-2.pdf,,1993,,56000,72000,,,,,82379,,,,
had.27.1-2.pdf,,1994,,97000,120000,,,,,135186,,,,
had.27.1-2.pdf,,1995,,122000,130000,,,,,142448,,,,
had.27.1-2.pdf,,1996,,169000,170000,,,,,178128,,,,
had.27.1-2.pdf,,1997,,242000,210000,,,,,154359,,,,
had.27.1-2.pdf,,1998,,120000,130000,,,,,100630,,,,
had.27.1-2.pdf,,1999,,74000,78000,,,,,83195,,,,
had.27.1-2.pdf,,2000,,37000,62000,,,,,68944,,,,
had.27.1-2.pdf,,2001,,66000,85000,,,,,89640,,,,
had.27.1-2.pdf,,2002,,64000,85000,,,,,114798,,,,
had.27.1-2.pdf,,2003,,101000,101000,,,,,138926,,,,
had.27.1-2.pdf,,2004,,120000,130000,,,,,158279,,,,
had.27.1-2.pdf,,2005,,106000,117000,,,,,158751,,,,
had.27.1-2.pdf,,2006,,112000,120000,,,,,153157,,,,
had.27.1-2.pdf,,2007,,130000,150000,,,,,161525,,,,
had.27.1-2.pdf,,2008,,130000,155000,,,,,155604,,,,
had.27.1-2.pdf,,2009,,194000,194000,,,,,200061,,,,
had.27.1-2.pdf,,2010,,243000,243000,,,,,249200,,,,
had.27.1-2.pdf,,2011,,303000,303000,,,,,310618,,,,
had.27.1-2.pdf,,2012,,318000,318000,,,,,315627,,,,
had.27.1-2.pdf,,2013,,238000,200000,,,,,193744,,,,
had.27.1-2.pdf,,2014,,150000,178500,,,,,177522,,,,
had.27.1-2.pdf,,2015,,165000,223000,,,,,194756,,,,
had.27.1-2.pdf,,2016,,244000,244000,,,,,233416,,,,
had.27.1-2.pdf,,2017,,233000,233000,,,,,227588,,,,
