year,assess_year,code,category,scientific_name
2020,2019,NT,Near Threatened,Hexanchus griseus
2009,2005,NT,Near Threatened,Hexanchus griseus
2000,2000,LR/nt,Lower Risk/near threatened,Hexanchus griseus
1996,1996,VU,Vulnerable,Hexanchus griseus
2019,2018,VU,Vulnerable,Lamna nasus
2006,2006,VU,Vulnerable,Lamna nasus
2000,2000,LR/nt,Lower Risk/near threatened,Lamna nasus
1996,1996,VU,Vulnerable,Lamna nasus
2014,2009,LC,Least Concern,Diplodus cervinus
2014,2009,LC,Least Concern,Pagrus pagrus
1996,1996,EN,Endangered,Pagrus pagrus
2020,2019,LC,Least Concern,Etmopterus pusillus
2009,2008,LC,Least Concern,Etmopterus pusillus
2020,2020,NT,Near Threatened,Carcharhinus altimus
2009,2008,DD,Data Deficient,Carcharhinus altimus
2019,2018,VU,Vulnerable,Alopias superciliosus
2009,2007,VU,Vulnerable,Alopias superciliosus
2019,2018,LC,Least Concern,Pteroplatytrygon violacea
2009,2007,LC,Least Concern,Pteroplatytrygon violacea
2019,2011,LC,Least Concern,Gymnothorax buroensis
2014,2011,NT,Near Threatened,Dentex angolensis
2014,2009,LC,Least Concern,Pagrus caeruleostictus
2014,2009,LC,Least Concern,Lithognathus mormyrus
2014,2011,LC,Least Concern,Pagellus bellottii
2014,2009,LC,Least Concern,Dentex maroccanus
2014,2009,LC,Least Concern,Sarpa salpa
2014,2009,LC,Least Concern,Dentex gibbosus
2014,2011,LC,Least Concern,Dentex canariensis
2014,2009,LC,Least Concern,Oblada melanura
2014,2009,LC,Least Concern,Pagrus auriga
2014,2011,LC,Least Concern,Diplodus bellottii
2014,2009,LC,Least Concern,Pagellus erythrinus
2014,2009,LC,Least Concern,Pagellus acarne
2014,2009,LC,Least Concern,Dentex macrophthalmus
2014,2009,NT,Near Threatened,Pagellus bogaraveo
2014,2009,VU,Vulnerable,Dentex dentex
2014,2009,LC,Least Concern,Boops boops
2014,2009,LC,Least Concern,Sparus aurata
2014,2009,LC,Least Concern,Spondyliosoma cantharus
2014,2009,LC,Least Concern,Diplodus annularis
2014,2009,LC,Least Concern,Diplodus vulgaris
2014,2009,LC,Least Concern,Diplodus puntazzo
2014,2009,LC,Least Concern,Spicara maena
2014,2009,LC,Least Concern,Spicara smaris
2014,2009,LC,Least Concern,Centracanthus cirrus
2014,2011,LC,Least Concern,Spicara melanurus
2012,2010,LC,Least Concern,Naso lituratus
2012,2010,LC,Least Concern,Ctenochaetus marginatus
2012,2010,LC,Least Concern,Naso annulatus
2012,2010,LC,Least Concern,Naso hexacanthus
2012,2010,LC,Least Concern,Acanthurus monroviae
2014,2010,LC,Least Concern,Tripterygion tartessicum
2014,2007,LC,Least Concern,Blennius ocellaris
2014,2011,DD,Data Deficient,Spaniblennius riodourensis
2014,2007,LC,Least Concern,Tripterygion delaisi
2014,2007,LC,Least Concern,Clinitrachus argentatus
2014,2007,LC,Least Concern,Coryphoblennius galerita
2014,2011,LC,Least Concern,Aidablennius sphynx
2014,2007,LC,Least Concern,Salaria pavo
2014,2011,LC,Least Concern,Lipophrys pholis
2014,2007,LC,Least Concern,Parablennius incognitus
2015,2013,LC,Least Concern,Dactylopterus volitans
2014,2007,LC,Least Concern,Parablennius tentacularis
2014,2007,LC,Least Concern,Parablennius sanguinolentus
2015,2010,LC,Least Concern,Chromis chromis
2015,2011,LC,Least Concern,Abudefduf luridus
2015,2010,LC,Least Concern,Chromis limbata
2015,2011,LC,Least Concern,Muraena melanotis
2014,2011,LC,Least Concern,Sphoeroides pachygaster
1996,1996,VU,Vulnerable,Sphoeroides pachygaster
2015,2013,LC,Least Concern,Halosaurus guentheri
2015,2011,LC,Least Concern,Gymnothorax maderensis
2016,2013,LC,Least Concern,Cookeolus japonicus
2015,2011,LC,Least Concern,Aldrovandia oleosa
2015,2011,LC,Least Concern,Serrivomer beanii
2015,2011,LC,Least Concern,Gymnothorax polygonius
2015,2013,LC,Least Concern,Zenopsis conchifer
2015,2011,LC,Least Concern,Avocettina infans
2015,2011,LC,Least Concern,Aldrovandia affinis
2015,2012,LC,Least Concern,Polyacanthonotus challengeri
2015,2013,LC,Least Concern,Corniger spinosus
2015,2013,LC,Least Concern,Mulloidichthys martinicus
2015,2011,LC,Least Concern,Nettastoma melanurum
2015,2011,LC,Least Concern,Aldrovandia gracilis
2015,2011,LC,Least Concern,Polyacanthonotus merretti
2022,2019,LC,Least Concern,Labichthys carinatus
2014,2011,LC,Least Concern,Arothron meleagris
2022,2022,LC,Least Concern,Melichthys vidua
2014,2011,LC,Least Concern,Canthigaster capistrata
2015,2011,VU,Vulnerable,Balistes punctatus
2014,2011,LC,Least Concern,Ephippion guttifer
2015,2011,DD,Data Deficient,Acanthostracion notacanthus
2014,2011,LC,Least Concern,Sphoeroides marmoratus
2015,2013,LC,Least Concern,Parapristipoma humile
2015,2011,LC,Least Concern,Parapristipoma octolineatum
2015,2011,DD,Data Deficient,Plectorhinchus mediterraneus
2016,2016,EN,Endangered,Rhincodon typus
2005,2005,VU,Vulnerable,Rhincodon typus
2000,2000,VU,Vulnerable,Rhincodon typus
1996,1996,DD,Data Deficient,Rhincodon typus
1994,1994,I,Indeterminate,Rhincodon typus
1990,1990,I,Indeterminate,Rhincodon typus
2015,2011,LC,Least Concern,Chlopsis bicolor
2015,2014,LC,Least Concern,Ariosoma balearicum
2015,2011,LC,Least Concern,Conger conger
2015,2011,LC,Least Concern,Gymnothorax unicolor
2015,2011,LC,Least Concern,Muraena helena
2015,2011,LC,Least Concern,Apterichtus anguiformis
2015,2011,LC,Least Concern,Apterichtus caecus
2022,2019,LC,Least Concern,Dalophis imberbis
2015,2011,LC,Least Concern,Echelus myrus
2015,2011,LC,Least Concern,Ophisurus serpens
2015,2011,LC,Least Concern,Dysomma brevirostre
2015,2011,LC,Least Concern,Anarchias longicauda
2019,2011,LC,Least Concern,Echidna nebulosa
2015,2011,LC,Least Concern,Enchelycore anatina
2022,2019,LC,Least Concern,Enchelynassa canina
2019,2011,LC,Least Concern,Gymnomuraena zebra
2015,2011,DD,Data Deficient,Gymnothorax bacalladoi
2019,2011,LC,Least Concern,Gymnothorax flavimarginatus
2019,2011,LC,Least Concern,Gymnothorax pictus
2015,2011,LC,Least Concern,Gymnothorax vicinus
2015,2011,LC,Least Concern,Muraena augusti
2019,2011,LC,Least Concern,Scuticaria tigrina
2019,2011,LC,Least Concern,Uropterygius macrocephalus
2019,2011,LC,Least Concern,Uropterygius supraforatus
2015,2011,LC,Least Concern,Aldrovandia phalacra
2015,2013,LC,Least Concern,Halosauropsis macrochir
2015,2013,LC,Least Concern,Halosaurus johnsonianus
2015,2013,LC,Least Concern,Halosaurus ovenii
2015,2011,LC,Least Concern,Notacanthus chemnitzii
2015,2012,LC,Least Concern,Apogon imberbis
2012,2011,LC,Least Concern,Kuhlia mugil
2022,2020,LC,Least Concern,Planiliza subviridis
2015,2011,LC,Least Concern,Myrichthys pardalis
2022,2019,LC,Least Concern,Saurenchelys stylura
2022,2019,DD,Data Deficient,Nettenchelys dionisi
