,2012,2016,2021
Belgium,8.070179,8.066542,8.063813
Germany,8.055145,8.054312,8.044487
Denmark,8.065767,8.064152,8.055584
Estonia,8.004305,8.038195,8.004012
Spain,8.082115,8.072526,8.066342
Finland,8.016771,8.034461,8.012807
France,8.087642,8.07798,8.07077
Ireland,8.096759,8.086586,8.077492
Lithuania,7.9523606,7.9881988,7.9607396
Latvia,7.961943,8.010791,7.9702873
Netherlands,8.084946,8.074646,8.068349
Poland,7.910485,7.9586277,7.9171433
Portugal,8.083828,8.076773,8.067
Sweden,7.989894,8.017664,7.994139
United Kingdom,8.091344,8.0825405,8.07373
