,2012,2016,2021
Belgium,0.014681631,0.016017746,0.018983005
Germany,0.01688373,0.018169543,0.018222071
Denmark,0.018668527,0.019744162,0.019873584
Estonia,0.026755486,0.028275862,0.02364423
Spain,0.009263801,0.009368121,0.009884454
Finland,0.030280437,0.031270046,0.02718806
France,0.009735693,0.010222517,0.010972051
Ireland,0.009019298,0.009189855,0.00965994
Lithuania,0.033946928,0.03598196,0.02889541
Latvia,0.02691254,0.02865194,0.02448321
Netherlands,0.012116159,0.012411449,0.0146615645
Poland,0.026912237,0.03158162,0.025519283
Portugal,0.008775974,0.00879393,0.008968729
Sweden,0.0288203,0.03003999,0.027022686
United Kingdom,0.009449449,0.009675161,0.01036537
