Country,Year,nitro,phospho,eutro,wasteG,wasteR,mspVal,ohiBio,co2,phCopernicus,fmsyF,bBmsy,kbaMPA,natura2kEEZ,fseRiskkRatio,tacCatch,compositeIUU,fteCoastalPop,gvaHoursW,economies,gvaNights,oResearch,sadTac,ohiArt,threatenedFish,imoRatedf
Belgium,2012,9.82995574190543,3.333333333333334,100.0,13.559322033898304,92.88577154308618,50.0,65.28,37.73412089634272,74.16158447298154,84.2788529173951,91.9822548433205,96.4998,100.0,1.13903657551887,78.4801297710838,,8.301720436508582,73.22675632992105,96.87393423162912,45.33424040934907,,98.29274619115141,79.51,77.77777777777777,78.43137254901961
Belgium,2013,10.200628474740151,3.333333333333334,100.0,,91.48296593186373,,60.77,37.91420315001804,,,,96.4998,,1.3774462646782584,,,7.533416847418685,86.98893667396143,42.160717049496554,48.32828189906743,0.31060756602649864,,79.39,,
Belgium,2014,10.680840293596559,4.000000000000001,100.0,6.451612903225806,98.49699398797596,,59.98,40.132036105289814,,,,96.84682,,1.6943041784185537,,,7.298916489624313,76.24344584710099,11.754541407173516,46.80237363919247,0.29559252393437435,,79.06,,
Belgium,2015,10.656565656565657,4.000000000000001,100.0,,98.49699398797596,,60.11,38.630784328563045,,,,96.84682,,3.3572864275887264,,,7.564067790517337,96.56341690120725,92.00311437908417,39.36858231291966,0.24836792894435233,,78.83,,
Belgium,2016,,,100.0,12.698412698412698,99.6993987975952,100.0,60.45,39.45925936145257,73.54311145307273,89.25367136471411,94.66280398895421,96.84682,100.0,2.2721714227772405,95.507004936209,,7.46930338812029,70.1538972681424,21.65887154620977,38.05884960844722,0.23315324086319142,97.0710520184792,78.43,87.78625954198473,76.47058823529412
Belgium,2017,,,100.0,,99.19839679358718,,59.87,39.656642367500524,,,,96.84682,,3.4119223663828344,,,7.564985416789321,92.79982559997666,97.4175920604982,43.69156456400176,0.2211828001038746,,78.04,,
Belgium,2018,,,100.0,12.307692307692308,98.89779559118237,,59.79,39.34410612006669,,,,96.84682,,2.298623306751937,,,9.121286275573324,64.55323203981132,28.478748142687127,54.83008994037996,,,77.65,,
Belgium,2019,,,100.0,,99.5991983967936,,60.32,39.71680264733454,,,,96.85317,100.0,,,99.99999999999997,9.054363581027511,61.31656740057109,86.0498945536843,55.022176851639045,,,77.59,,
Belgium,2020,,,100.0,9.30232558139535,99.5991983967936,,60.47,44.14051269919796,,,,96.85317,,,,,7.612006301514921,79.08410261862667,21.297335190497357,41.541087996819215,,,77.51,,
Belgium,2021,,,100.0,,,,60.47,41.83368133597215,73.0824334889545,,,96.85317,100.0,,,64.03107770516252,,,,,,,76.33,,90.19607843137256
Belgium,2022,,,100.0,,,100.0,60.47,,,97.1828179901185,91.87138624789189,96.85317,,,97.2558923727438,,,,,,,96.6157195673523,78.66,84.9673202614379,
Denmark,2012,16.866506794564348,2.8571428571428577,100.0,42.10526315789473,99.5991983967936,25.0,62.71,47.37624021572946,73.41199054482836,95.4194992482581,96.0311509702546,86.6634,60.47361956180192,0.6989857696202851,94.3851261199102,,15.210298568298047,,4.504191753499883,81.88920488390775,,84.6600927184033,70.5,83.51648351648352,80.3921568627451
Denmark,2013,16.150019135093764,2.5000000000000004,5.88235294117647,,98.09619238476954,,62.33,45.58529099136296,,,,86.6634,,0.7873791250244037,,,17.165620441102412,,59.459710715057945,100.0,,,72.49,,
Denmark,2014,17.627401837928154,2.8571428571428577,100.0,44.44444444444444,98.39679358717436,,61.65,50.31625850303103,,,,86.69737,,0.8006952341672684,,,17.899826131346444,,64.58297050834494,100.0,,,73.07,,
