Country,Year,14.1 Pollution,14.2 Ecosystem,14.3 Acidification,14.4 Sustainable Fishing,14.5 Protection,14.6 Incentives,14.7 Economics,14.a Science,14.b Small-scale Fishing,14.c Marine Agreements
Belgium,2012,50.982395914807334,62.51146592212616,55.64512500026071,88.12213399185629,98.24834120213804,57.45516952791745,59.9685803832855,45.787606276407494,78.64341195053095,78.43137254901963
Belgium,2013,50.14938267527263,67.68993301434541,55.66358257699321,89.08033998559985,98.24834120213804,58.94524216599779,45.23895648540532,45.64612611707162,79.83482511554953,77.94117647058826
Belgium,2014,50.77418879476621,73.70887111867208,56.73849401769682,90.03842712963502,98.42214721240633,60.46746755012322,32.4564157138956,45.492253679246026,80.91886915406438,77.4509803921569
Belgium,2015,51.396403653536126,79.90419121154025,55.88528598302034,90.99639920953403,98.42214721240633,62.59919737952327,59.96528478757915,45.31138703769237,82.0507221143559,76.96078431372553
Belgium,2016,52.191489780798086,86.11442831823643,56.239552491361266,91.95425984856986,98.42214721240633,63.46950382543353,32.249717811055994,45.15708242448662,83.09495531315157,76.47058823529414
Belgium,2017,52.07568354952627,85.91599920319075,56.296929981902345,92.38460625393424,98.42214721240633,64.08174214298973,62.59107307041845,45.11177378813319,82.66520025616937,79.21568627450984
Belgium,2018,51.99112715103565,85.83966394540472,56.09020204701905,92.8140720252452,98.42214721240633,63.66831235686413,39.49891541368811,45.076625723965584,82.23544489639121,81.96078431372553
Belgium,2019,51.80962782919985,85.9210878962513,56.238354888259565,93.2426695780064,98.42532733421058,63.761547547516734,57.99028723152456,45.04147764830696,81.97161667316016,84.70588235294122
Belgium,2020,51.514611889462515,85.9058216956281,58.475754713913936,93.67041091363136,98.42532733421058,58.094490199073434,34.665839423181076,45.00632956114023,81.69769124865493,87.4509803921569
Belgium,2021,51.514611889462515,85.85493172687649,57.24254103388735,94.09730763731397,98.42532733421058,52.355337610550436,34.665839423181076,44.971181462448264,80.8707461917365,90.19607843137258
Belgium,2022,51.514611889462515,85.80403770060582,57.24254103388735,94.52337097486989,98.42532733421058,52.446685153098365,34.665839423181076,44.9360333522139,81.80758022808143,90.19607843137258
Denmark,2012,58.40271288674507,48.9771758637506,60.25255249466771,95.7252762561245,73.4512568301584,46.591801188695904,35.70298901621615,64.47651805432159,76.98070258395401,80.39215686274511
Denmark,2013,26.88493276842787,48.82368548023927,59.30088894269676,94.50112037235291,73.4512568301584,46.777052312457506,61.38327118023217,63.628898926115404,78.78135155630613,81.86274509803923
Denmark,2014,58.75772300339974,48.59821346251065,61.6886641721761,93.27546907919734,73.4679630553063,46.92438023832045,63.094700354255814,62.90765142962922,79.87092042413335,83.33333333333337
Denmark,2015,25.212411652298915,48.72294753852457,63.51686211678597,92.04826177108608,73.4679630553063,47.049633816594365,64.30388490401016,61.627956477765416,81.99928439000742,84.80392156862749
Denmark,2016,41.93929034981979,48.60301115095614,62.33659319573053,90.81943389685884,73.49223749287736,47.162711193822496,45.490352195548375,61.51916342627549,82.95786634111597,86.2745098039216
Denmark,2017,58.3835907077276,55.065940055986324,63.90770444384211,91.03685457677751,73.49223749287736,47.17211309263152,61.400931712366024,62.0349894142239,82.90537170900188,87.4509803921569
Denmark,2018,42.64949232767738,61.24923231560727,63.87597321540453,91.25421086419021,73.49223749287736,47.1521071125034,42.16179111967724,62.55088850395443,82.93809101747271,88.62745098039218
Denmark,2019,57.776017562482714,67.45664042328828,66.80565616726848,91.47150323523671,73.49223749287736,47.20086406553004,65.767662364264,63.06652977835591,82.8998324614367,89.80392156862749
Denmark,2020,31.504873117271874,73.75895764467506,71.78281408246939,91.68873216036089,73.49223749287736,49.594556026054015,61.57432278055342,63.58191860567678,82.89634902853979,90.98039215686278
Denmark,2021,20.152588107841062,80.05566504591151,69.90487907434388,91.90589810440525,73.49223749287736,51.97008315633961,61.57432278055342,64.09706018190374,81.56993590778845,92.15686274509807
Denmark,2022,19.721357153260477,86.0839047502246,69.90487907434388,92.12300152670376,73.49223749287736,51.973323058639714,61.57432278055342,64.61195953823525,80.36369074397473,92.15686274509807
Estonia,2012,39.946180251154324,52.92846368564202,44.86422760332146,97.43590364085203,79.4829392513213,57.24366207310088,51.107907148004664,68.4078902558901,85.16073702387237,76.47058823529414
Estonia,2013,42.12508485132424,55.440511482943,44.113926779974655,95.88427254517103,79.4829392513213,64.25212367044665,47.86955905679026,67.61963035961729,86.40494044486469,76.96078431372553
Estonia,2014,43.61609309236955,58.92226143126981,45.25463769097987,94.3298511760771,79.4829392513213,57.2249722980965,38.87313699146194,66.95870243420187,87.55836643104357,77.4509803921569
Estonia,2015,41.86243986696999,61.30299107658225,48.356892630281436,92.77249419718838,79.48300292961882,61.45634368150756,54.62301308747237,65.73594575903286,88.77552207525731,77.94117647058826
Estonia,2016,43.53608645224275,63.840552910681275,47.51759183747032,91.21204375598982,79.48300292961882,90.02245454384911,47.888081314666735,65.6918794716765,89.91673289890015,78.43137254901963
Estonia,2017,41.263000845914306,67.26145881903759,46.033135740132224,90.43905177631493,79.4840119852667,89.85978672627165,57.02457067005242,66.06824486377084,90.10088879298208,79.21568627450984
Estonia,2018,40.12349275991533,71.35780158817069,46.17719918033293,89.6660386122717,79.48696567240768,54.74046053741298,63.95103757401517,66.44482853442695,90.45492143186985,80.00000000000003
Estonia,2019,42.104076016693426,75.87449545677302,51.874316938899916,88.89300370469974,79.49006140303489,55.327412605953505,72.39316095865422,66.82129351121036,90.69900711982748,80.78431372549024
Estonia,2020,43.03718931086014,80.17045071784469,58.21840639242416,88.11994647445947,79.49175131590998,55.172248563894655,53.14645723295628,67.19764146516556,90.93308899793328,81.56862745098042
Estonia,2021,51.24270604608422,83.94813121526741,54.63889976039107,87.34686632152616,79.49175131590998,55.01704970550908,53.14645723295628,67.5738740310196,90.75753913150785,82.35294117647062
Estonia,2022,76.46731141708688,87.96862225479461,54.63889976039107,86.57376262403368,79.49175131590998,54.86181575712856,53.14645723295628,67.9499928082516,94.73126898434427,82.35294117647062
