,Country,Year,nitro,wasteG,wasteR,scoreESD,co2pc,mpa,ohiBio,fseScore,ohiLive,ohiTour,oResearch,ohiArt,threatened,imoRatedf,plastic,14.1,14.3,14.5,14.7,14.b
0,Belgium,2012,23.68,54.62,92.7,100.0,47.69,100.0,74.65,99.47,67.75,25.64,0.02,78.53,79.577,78.43137254901961,73.41070651991176,47.87264467201933,73.37013882075402,87.23264126964236,46.20018619616022,79.05332666514866
1,Belgium,2013,26.01,54.62,91.3,100.0,47.89,100.0,72.32,99.26,80.5,25.42,0.02,78.75,79.577,78.43137254901961,72.7266489258165,48.78967194603845,73.47452647672412,86.04829209110817,52.20216080281451,79.163392006331
2,Belgium,2014,28.78,0.0,98.3,100.0,52.52,100.0,71.83,99.35,80.5,26.55,0.02,78.7,79.577,78.43137254901961,45.506742108920335,37.048287252797074,75.88338331832925,85.79894807450198,52.8083384922329,79.13837851464736
3,Belgium,2015,28.65,0.0,98.3,100.0,49.77,100.0,71.79,99.49,80.5,25.88,0.01,78.47,79.577,78.43137254901961,45.506742108920335,36.98161575260699,74.4543866135107,85.77858916335767,52.4491575112382,79.0233061556969
127,Belgium,2016,28.65,51.26,99.5,99.63395070810904,51.35,100.0,70.37,99.96,80.5,24.1,0.0,77.98,79.577,78.43137254901961,74.9862528835653,51.27864564711253,75.09810496572649,85.05542200867184,51.49152613854811,78.77809531173052
170,Belgium,2017,28.65,51.26,99.0,100.0,51.96,100.0,71.12,99.74,80.5,24.13,0.0,77.5,79.577,78.43137254901961,74.74320339483216,51.161646934498044,75.59278750958552,85.43748019275787,51.50770853868113,78.53781338255763
128,Belgium,2018,28.65,49.58,98.7,95.52613833939121,51.71,100.0,71.16,99.61,80.5,23.87,0.0,77.06,79.577,84.31372549019608,73.72430419520741,50.67104755184878,73.28638519846012,85.45785008024119,51.3674108609031,78.31748880854366
171,Belgium,2019,28.65,49.58,99.4,96.62263835263003,52.4,100.0,71.48,99.61,80.5,25.01,0.0,77.05,79.577,84.31372549019608,74.06419836796066,50.83472873496492,74.17753633796157,85.6207854836751,51.98173343555476,78.3124806922089
129,Belgium,2020,28.65,31.93,99.4,100.0,59.43,100.0,71.74,99.61,80.5,21.66,0.0,77.12,79.577,84.31372549019608,64.74926229560621,46.34023248542582,79.4536388738867,85.75313960867466,50.17008373051348,78.34753681451596
265,Belgium,2021,28.65,31.93,99.4,100.0,55.72,100.0,71.63,99.61,80.5,22.75,0.0,75.74,79.577,90.19607843137254,64.74926229560621,46.34023248542582,77.54020760109847,85.69714700196359,50.7617213115245,77.65612996377803
